video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
100+ Nigerian Foods You Already Love And Would Want to Make,2024-05-15 17:11:08+00:00,128,5,0,2024-08-21 23:26:48.420360+00:00,0,1,1
Ultimate Nigerian Cookbook 8th Edition - Best Nigerian Cookery Book,2023-09-05 05:57:50+00:00,1005,4,2,2024-08-21 23:26:49.140348+00:00,0,1,17
My Other Noodle Recipe From Ghana - How to Cook Indomie Noodles.,2023-03-29 01:28:33+00:00,218,2,0,2024-08-21 23:26:50.045934+00:00,0,3,2
Egusi Soup - No Frying Egusi With Lumps - Yummy Soup,2023-01-10 09:55:22+00:00,351,7,4,2024-08-21 23:26:51.321194+00:00,0,3,46
"Ultimate Nigerian Cookbook, 7th Edition - Detailed Nigerian cookbook.",2022-12-05 17:47:10+00:00,394,6,1,2024-08-21 23:26:52.575587+00:00,0,1,2
Ultimate Nigerian Cookbook - Best For Making Yummy Foods.,2022-11-25 20:48:54+00:00,2927,0,1,2024-08-21 23:26:53.826192+00:00,0,0,48
Red Red - Delicious Ghanian Beans Stew,2022-11-25 12:49:49+00:00,63,0,0,2024-08-21 23:26:55.141285+00:00,0,3,17
Chicken Okro Soup For the Family,2022-11-16 07:48:21+00:00,10147,136,10,2024-08-21 23:26:56.091402+00:00,0,4,10
Ultimate Nigerian Cookbook 7th Edition (Best for making Nigerian foods),2021-02-01 18:57:51+00:00,447,23,7,2024-08-21 23:26:57.099688+00:00,0,0,44
Akara | How to Fry Akara Like a Pro.,2020-09-03 10:29:50+00:00,3256,32,12,2024-08-21 23:26:58.900138+00:00,0,3,32
White Soup (Nsala Soup) | Delicious Igbo Soup,2020-06-17 09:24:05+00:00,5637,29,2,2024-08-21 23:26:59.940579+00:00,0,3,6
Vegetable soup | How to Make Soup with Vegetables in Nigeria,2020-03-20 06:25:23+00:00,6456,61,8,2024-08-21 23:27:01.528688+00:00,0,3,2
Eba | How to Make Garri,2020-03-16 21:59:00+00:00,29845,229,21,2024-08-21 23:27:02.542493+00:00,0,1,38
Groundnuts (Peanuts) | How To Fry in Nigeria,2020-02-21 17:55:13+00:00,9154,79,11,2024-08-21 23:27:03.512658+00:00,0,2,49
How to make Pepper soup with Assorted meat.,2019-08-07 06:36:05+00:00,5026,38,2,2024-08-21 23:27:08.614557+00:00,0,1,32
Nigerian Soups You Have Never Tasted,2018-09-10 23:37:21+00:00,3042,31,1,2024-08-21 23:27:09.509940+00:00,0,2,11
Nkwobi Recipe | Igbo Foods,2018-08-27 20:03:27+00:00,22833,233,13,2024-08-21 23:27:10.488964+00:00,0,3,14
Ultimate Nigerian Cookbook,2018-06-22 06:16:32+00:00,1056,16,16,2024-08-21 23:27:11.157258+00:00,0,2,45
Okro Pepper Soup | Yummy,2018-05-19 06:56:06+00:00,9624,61,3,2024-08-21 23:27:11.947256+00:00,0,3,7
Indomie Best Recipe | How to Prepare Noodles,2018-04-28 20:11:47+00:00,63199,445,26,2024-08-21 23:27:12.811251+00:00,0,1,47
Moi Moi (Beans Pudding) Best Video Recipe.,2017-11-17 12:30:11+00:00,4153,25,3,2024-08-21 23:27:13.641614+00:00,0,1,57
Akamu (Pap) in Just 3 seconds.,2017-09-06 23:33:08+00:00,2124,28,5,2024-08-21 23:27:14.632683+00:00,0,1,30
Chicken Suya | You will love this one,2017-08-26 06:27:06+00:00,3765,56,7,2024-08-21 23:27:15.932999+00:00,0,3,12
Tigernut Milk | My Favorite Milk Drink.,2017-06-29 05:59:24+00:00,14037,121,10,2024-08-21 23:27:17.493955+00:00,0,2,15
Suya | The Best Way to Make Suya,2017-06-17 06:26:13+00:00,3545,51,3,2024-08-21 23:27:18.496191+00:00,0,3,28
Aloe Vera Juice | Enjoy The Benefits Of Aloe,2017-06-13 11:56:50+00:00,2209,18,0,2024-08-21 23:27:19.452664+00:00,0,1,43
"Good Yeast, Bad Yeast - The experiment",2017-06-03 12:04:50+00:00,214001,1436,118,2024-08-21 23:27:21.978965+00:00,0,2,32
Home made Bread,2017-05-27 06:46:05+00:00,2890,28,3,2024-08-21 23:27:22.969583+00:00,0,3,17
