video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
Simple Ngerian Buns Recipe,2022-09-24 16:10:15+00:00,57,15,14,2024-08-21 23:42:55.115895+00:00,0,1,46
SIMPLE AND DELICIOUS PASTA RECIPE,2022-08-23 18:15:48+00:00,35,8,12,2024-08-21 23:42:55.871033+00:00,0,1,30
very easy RED VELVET CAKE recipe,2022-08-11 18:03:39+00:00,1211,17,11,2024-08-21 23:42:56.575480+00:00,0,1,44
How to make COCONUT CHIPS at Home,2022-07-29 18:38:28+00:00,225,7,9,2024-08-21 23:42:57.258046+00:00,0,1,12
Quick & Easy Vanilla Buttercream Frosting Recipe,2022-07-11 17:00:15+00:00,265,5,4,2024-08-21 23:42:57.974763+00:00,0,1,13
MOIST and FLUFFY VANILLA CAKE recipe from scratch,2022-06-27 17:00:09+00:00,164,10,6,2024-08-21 23:42:58.681663+00:00,0,2,11
"Delicious egg friedrice recipe// quick,simple and yummy",2022-06-18 16:00:00+00:00,22,4,6,2024-08-21 23:42:59.414462+00:00,0,1,5
Quick and easy macaroni recipe,2022-05-11 17:01:00+00:00,50,7,8,2024-08-21 23:43:00.120002+00:00,0,1,16
HOW TO MAKE NIGERIAN PEPPERSOUP,2022-04-26 18:05:03+00:00,43,9,10,2024-08-21 23:43:00.809214+00:00,0,1,1
How to make simple MOI MOI at home,2022-04-10 18:00:09+00:00,30,5,9,2024-08-21 23:43:01.533030+00:00,0,1,45
How to make simple banana pancakes,2022-04-02 08:55:47+00:00,247,14,8,2024-08-21 23:43:02.269239+00:00,0,1,57
simple POPCORN CHICKEN recipe to make at home.,2022-03-17 13:58:51+00:00,103,13,15,2024-08-21 23:43:03.029510+00:00,0,2,18
SIMPLE CHICKEN AND VEGETABLE SAUCE//you'll want to have this everyday😉,2022-03-06 18:00:09+00:00,28,13,12,2024-08-21 23:43:03.763083+00:00,0,2,30
HOW TO MAKE A HEALTHY ZOBO DRINK// goodbye to soda,2021-12-27 18:00:13+00:00,49,9,12,2024-08-21 23:43:04.465786+00:00,0,1,31
Chocolate buttercream recipe,2021-12-13 19:38:20+00:00,30,6,8,2024-08-21 23:43:05.214178+00:00,0,1,55
Simple and Moist Chocolate Cake,2021-11-28 18:07:12+00:00,31,5,7,2024-08-21 23:43:05.957042+00:00,0,1,20
simple and easy banana bread recipe,2021-11-20 18:46:05+00:00,24,7,14,2024-08-21 23:43:06.716712+00:00,0,2,30
"GET TO KNOW ME TAG 2// food,marriage,friendship etc",2021-11-06 18:03:19+00:00,64,17,15,2024-08-21 23:43:07.432445+00:00,0,10,53
simple peanut burger recipe// perfectly coated,2021-11-01 19:47:51+00:00,29,8,8,2024-08-21 23:43:08.197290+00:00,0,2,19
homemade banana milkshake recipe/ simple,2021-10-23 18:00:04+00:00,35,10,8,2024-08-21 23:43:09.048877+00:00,0,1,3
ofada sauce recipe/ ayamase recipe,2021-10-17 18:41:40+00:00,64,12,17,2024-08-21 23:43:09.812748+00:00,0,1,36
!! before you buy your next CHAPMAN// non-alcoholic,2021-10-09 18:00:28+00:00,53,8,7,2024-08-21 23:43:10.520774+00:00,0,1,12
how to make healthy carrot and ginger juice|| for glowing skin,2021-10-02 17:25:39+00:00,20,8,8,2024-08-21 23:43:11.305624+00:00,0,1,5
simple mini sausage buns recipe || quick snack,2021-09-25 18:00:08+00:00,42,17,14,2024-08-21 23:43:11.994963+00:00,0,2,1
Easy Carrot Pancakes Recipe,2021-09-18 18:00:12+00:00,74,10,7,2024-08-21 23:43:12.758601+00:00,0,2,12
CHANNEL TRAILER | Cook with Funmi,2021-09-13 12:36:50+00:00,94,11,12,2024-08-21 23:43:13.521288+00:00,0,0,50
spaghetti and sausage recipe 2021,2021-01-25 02:46:29+00:00,99,16,5,2024-08-21 23:43:14.193368+00:00,0,1,43
EASY SPICY PLANTAIN CHIPS RECIPE,2021-01-10 21:57:47+00:00,729,21,13,2024-08-21 23:43:14.922254+00:00,0,2,17
