video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
EWEDU SOUP! ALFA OLORUNGBEBE STYLE | MARKET SERIES WITH CHEF T | DIRYOFAKITCHENLOVER,2024-08-13 14:23:33+00:00,15670,497,44,2024-08-21 10:28:30.789457+00:00,0,15,37
ESA SOUP | BENISEED SOUP | DIARYOFAKITCHENLOVER | SOUP RECIPES,2024-08-06 10:41:04+00:00,1944,77,6,2024-08-21 10:28:31.341189+00:00,0,1,31
CHEF T AND MAMA DEOLA FOLLOWERS PARTY FILLED WITH SO MUCH FOOD AND LAUGHTER,2024-08-05 13:32:28+00:00,3884,168,21,2024-08-21 10:28:31.943688+00:00,0,44,22
SISTER MARY AND FRIENDS SHARED THEIR OHA SOUP RECIPE | MARKET SERIES WITH CHEF T | OHA SOUP,2024-07-25 14:37:46+00:00,4810,317,70,2024-08-21 10:28:32.577069+00:00,0,21,17
LOCAL NIGERIAN SPICES | DIARYOFAKITCHENLOVER,2024-07-23 13:46:04+00:00,1901,100,6,2024-08-21 10:28:33.180171+00:00,0,1,30
AFANG SOUP! THE MAMA COMFORT STYLE | AFANG SOUP RECIPE,2024-07-20 07:54:49+00:00,6740,347,60,2024-08-21 10:28:33.781873+00:00,0,16,36
VERY TASTY BAKED SAUSAGE ROLLS | DIARYOFAKITCHENLOVER | #RECIPES,2024-07-15 08:55:58+00:00,4267,246,35,2024-08-21 10:28:34.437621+00:00,0,8,49
EATING COMPETITION. WHO WON?!,2024-07-12 13:28:51+00:00,2535,130,8,2024-08-21 10:28:35.064509+00:00,0,2,27
MAMA HOZANA SHARES HER EDIKAIKONG RECIPE | MARKET SERIES | EDIKAIKONG SOUP,2024-07-08 18:23:14+00:00,42102,974,183,2024-08-21 10:28:35.810120+00:00,0,19,36
PARTY STEW HAS A SECRET TECHNIQUE. WATCH THIS! | DIARYOFAKITCHENLOVER,2024-07-05 18:08:51+00:00,27339,846,99,2024-08-21 10:28:36.346074+00:00,0,6,24
VERY FUNNY BTS WITH MAMA DEOLA AND CHEF T | DIARYOFAKITCHENLOVER,2024-07-03 08:06:25+00:00,18260,713,71,2024-08-21 10:28:37.007937+00:00,0,21,54
500K WILL BUILD YOU YOUR DREAM KITCHEN! | KITCHEN ON A BUDGET | DIARYOFAKITCHENLOVER,2024-06-28 19:26:05+00:00,10446,590,59,2024-08-21 10:28:37.698495+00:00,0,14,46
COOK BEANS PORRIDGE LIKE A PRO! | BEANS RECIPE | DIARYOFAKITCHENLOVER,2024-06-25 19:06:58+00:00,11132,445,71,2024-08-21 10:28:38.331856+00:00,0,9,9
SIMPLE GOAT CURRY SAUCE! THE EASIEST RECIPE | DIARYOFAKITCHENLOVER #recipe,2024-06-23 11:06:57+00:00,3776,267,41,2024-08-21 10:28:38.823246+00:00,0,5,47
I COOKED PEPPERSOUP CONCOCTION RICE WITH ASHER | GOODNESS KITCHEN WITH CHEF T,2024-06-18 07:34:48+00:00,229375,189,4,2024-08-21 10:28:39.424698+00:00,0,0,55
THE BEST ASUN RICE RECIPE | GOATMEAT RICE RECIPE | DIARYOFAKITCHENLOVER #cookingvideo #cooking,2024-06-17 13:24:54+00:00,5389,340,60,2024-08-21 10:28:40.043645+00:00,0,5,13
VERY SIMPLIFIED EWA AGOYIN AND AGOYIN SAUCE RECIPE | AGOYIN BEANS AND STEW | DIARYOFAKITCHENLOVER,2024-06-14 15:58:19+00:00,86355,2392,449,2024-08-21 10:28:40.661679+00:00,0,6,4
DON’T DO THESE IN YOUR KITCHEN 🛑 | BEST KITCHEN HYGIENE TIPS | DIARYOFAKITCHENLOVER,2024-06-12 08:00:47+00:00,2461,174,10,2024-08-21 10:28:41.272401+00:00,0,6,20
HOW TO COOK JASMINE RICE THE EASIEST WAY | EGG STIR FRIED RICE | DIARYOFAKITCHENLOVER #recipes,2024-06-10 06:23:04+00:00,5732,328,79,2024-08-21 10:28:42.117294+00:00,0,6,31
SIMPLE YAMARITA AND EGG SAUCE FROM THE SCRATCH | YAMARITA | FRIED EGGS | DIARYOFAKITCHENLOVER,2024-06-08 08:48:32+00:00,12525,693,209,2024-08-21 10:28:42.712647+00:00,0,8,51
DIFFERENT COOKING METHODS I BET YOU DIDNT KNOW ABOUT | COOKING METHODS | DIARYOFAKITCHENLOVER,2024-06-07 06:43:04+00:00,1966,153,14,2024-08-21 10:28:43.323685+00:00,0,2,35
STIR FRIED NOODLES COOKED THE BEST WAY | DIARYOFAKITCHENLOVER | NOODLES RECIPE,2024-06-03 19:47:09+00:00,9419,547,74,2024-08-21 10:28:43.970505+00:00,0,3,54
DO YOU EAT INU ERAN? (OFALS)? SEE HOW I COOKED THIS! YOU’LL LOVE IT! | DIARYOFAKITCHENLOVER #cooking,2024-05-29 13:39:49+00:00,4050,273,49,2024-08-21 10:28:44.757451+00:00,0,5,1
MALTA CREAMY PASTA WITH AND MALTA PINACOLADA | EXCLUSIVE EPISODE OF GOODNESS KITCHEN WITH CHEF T!,2024-05-19 08:42:20+00:00,2360,128,7,2024-08-21 10:28:45.387292+00:00,0,21,10
MAMA DEOLA AND CHEF T. VERY FUNNY BEHIND THE SCENES | DIARYOFAKITCHENLOVER,2024-05-18 07:42:55+00:00,19923,987,76,2024-08-21 10:28:46.013877+00:00,0,17,12
VERY EASY HOME MADE ASUN (ROASTED GOAT MEAT) | DIARYOFAKITCHENLOVER,2024-05-16 18:41:42+00:00,6360,349,14,2024-08-21 10:28:46.629696+00:00,0,5,24
OFE NSALA | GOODNESS KITCHEN WITH CHEF T | MALTA GUINNESS,2024-05-13 11:21:38+00:00,846943,19955,4,2024-08-21 10:28:47.623708+00:00,0,0,56
SHREDDED BEEF SAUCE AND MALT MOCKTAIL | GOODNESS KITCHEN WITH CHEF T | MALTA GUINNESS,2024-05-13 11:21:33+00:00,902412,391,2,2024-08-21 10:28:48.228242+00:00,0,0,42
