video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
"How to decorate coffee marble on a tray, coffee marble cake",2023-11-28 15:22:17+00:00,183,1.0,0,2024-08-21 23:40:18.651506+00:00,0,1,52
Easiest multiple colour lollipop cake decoration. With over 10 inches high cake,2023-10-25 04:07:40+00:00,56,0.0,0,2024-08-21 23:40:19.322560+00:00,0,9,59
23 October 2023,2023-10-23 15:10:15+00:00,134,4.0,2,2024-08-21 23:40:20.019900+00:00,0,9,52
White buttercream cake design with gold fan and chocolates,2023-10-20 17:54:27+00:00,84,3.0,0,2024-08-21 23:40:20.692226+00:00,0,6,46
"How to make Bento cakes, Bento cuppies, Bento cakes made easy, cup cakes decoration",2023-10-07 01:58:17+00:00,130,4.0,0,2024-08-21 23:40:21.415543+00:00,0,1,53
"How to make Fan Cake Topper using paper, paper fan made easy, fan paper craft",2023-09-28 04:12:31+00:00,76,3.0,0,2024-08-21 23:40:22.104566+00:00,0,8,29
"How to make Pizza, how to make pizza crust, tomatoes sauce for pizza, pizza recipe,pizza ingredient",2023-03-05 10:24:20+00:00,82,,0,2024-08-21 23:40:22.770491+00:00,0,9,45
"How to make samosas, How to make samosa wrap, How to make samosa beef filling, How to fold samosa",2023-02-04 19:10:23+00:00,12322,218.0,13,2024-08-21 23:40:23.502827+00:00,0,7,18
How to make 3 layered origami cake using fondant icing. How Make origami design for cake using paper,2022-07-14 05:07:51+00:00,696,23.0,1,2024-08-21 23:40:24.310336+00:00,0,14,37
"HOW TO MAKE GOLD DRIPS ON CAKE,  GOLD DRIPS",2020-08-24 08:35:38+00:00,77,4.0,5,2024-08-21 23:40:24.988795+00:00,0,3,3
HOW TO MAKE 3 TIERS WEDDING CAKE. 3 STEP WEDDING CAKE,2020-07-27 09:08:37+00:00,112,3.0,0,2024-08-21 23:40:25.711505+00:00,0,3,32
HOW TO MAKE CHOCOLATE DRIPS ON CAKES,2020-07-27 08:21:26+00:00,95,3.0,0,2024-08-21 23:40:26.377466+00:00,0,2,28
HOW TO MAKE FRUIT BASKET USING FONDANT,2020-07-27 05:18:15+00:00,533,5.0,0,2024-08-21 23:40:27.116861+00:00,0,2,18
"HOW TO DECORATE CUP CAKES USING BUTTERCREAM FROSTING, BUTTER CREAM ON CUPCAKES",2020-07-27 04:05:05+00:00,41,3.0,2,2024-08-21 23:40:27.917422+00:00,0,2,58
HOW TO MAKE PIZZA Chicken Pizza,2020-07-27 03:56:41+00:00,40,2.0,0,2024-08-21 23:40:28.861048+00:00,0,3,25
"HOW TO MAKE BEEF JACKET, BEEF JACKET",2020-07-18 03:17:59+00:00,547,14.0,0,2024-08-21 23:40:29.562269+00:00,0,1,48
"How to make meatpie, How to make pastry dough",2020-07-18 02:57:48+00:00,26,2.0,0,2024-08-21 23:40:30.324923+00:00,0,4,43
"How to make puff-puff, Nigerian puff-puff, mouth watering puff-puff",2020-07-06 03:33:19+00:00,65,5.0,1,2024-08-21 23:40:31.012961+00:00,0,4,5
"HOW TO MAKE FONDANT ROSE FLOWERS. ROSES, LEARN HOW TO MAKE SIMPLE ROSE FLOWER.",2020-05-14 08:09:50+00:00,68,2.0,0,2024-08-21 23:40:31.786891+00:00,0,2,4
How To Make Fruit Basket Cake (PART 1),2020-01-28 09:01:11+00:00,5791,50.0,1,2024-08-21 23:40:32.550897+00:00,0,4,53
How to make fruit basket cake (PART 2),2020-01-27 17:49:55+00:00,630,15.0,3,2024-08-21 23:40:33.297866+00:00,0,4,55
"How to make a car cake, How to make a Ferrari car cake, Fondant car cake in Nigeria with simple tool",2019-10-22 06:22:42+00:00,104,3.0,0,2024-08-21 23:40:33.986650+00:00,0,4,45
"How to make Spring Cucumber, Spring cucumber.",2019-05-01 09:46:40+00:00,619,6.0,1,2024-08-21 23:40:34.726211+00:00,0,2,24
My Birthday giveaway online class as I celebrate one decade as a baker,2019-03-27 06:50:03+00:00,46,4.0,1,2024-08-21 23:40:35.390573+00:00,0,1,54
How to make chocolate drip design on strawberries,2019-02-21 11:09:51+00:00,53,2.0,0,2024-08-21 23:40:36.254522+00:00,0,1,25
How to make Army camouflage cake using fondant icing,2019-02-21 11:07:11+00:00,6849,63.0,1,2024-08-21 23:40:36.934258+00:00,0,1,31
How to make Edible cake topper with sugar paste or fondant icing,2018-10-30 10:14:05+00:00,200,10.0,0,2024-08-21 23:40:37.675715+00:00,0,4,27
Nigerian Ankara girl cake,2018-10-28 17:55:28+00:00,2009,29.0,1,2024-08-21 23:40:38.370150+00:00,0,1,40
