video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
"Easy, Moist Funfetti - Confetti Cake",2024-08-19 06:33:21+00:00,188,19,4,2024-08-21 23:24:45.047623+00:00,0,8,47
Chocolate Peanut Cake | Snicker Bar Cake,2024-08-03 05:22:08+00:00,267,26,7,2024-08-21 23:24:45.840441+00:00,0,16,9
Fruity Delight Rich Fruit Cake Recipe,2024-06-03 09:06:53+00:00,1283,76,22,2024-08-21 23:24:47.963109+00:00,0,17,54
Fruit Cake Mixed Dried Fruits and Homemade All Spice,2024-05-24 18:24:01+00:00,2295,58,12,2024-08-21 23:24:48.641233+00:00,0,6,54
Kunnu Zaki | Kunu | Millet Drink,2023-11-21 19:29:40+00:00,37133,828,66,2024-08-21 23:24:51.171850+00:00,0,15,48
Luxury apartment in Lagos: Bews Lodge,2023-11-07 14:24:39+00:00,224,7,2,2024-08-21 23:24:51.925226+00:00,0,5,35
How to make ice cream in a stand mixer,2023-11-02 17:26:33+00:00,3508,101,20,2024-08-21 23:24:52.656327+00:00,0,7,42
Russian Buttercream recipe,2023-10-26 12:14:10+00:00,1252,61,8,2024-08-21 23:24:53.393116+00:00,0,4,44
3 easy ways to make fondant,2023-10-17 13:41:52+00:00,970,29,3,2024-08-21 23:24:54.120013+00:00,0,6,10
Rich strawberry cake,2023-10-11 09:59:06+00:00,1469,69,16,2024-08-21 23:24:54.869208+00:00,0,3,29
How to remix videos on Instagram : 2023,2023-10-08 18:25:48+00:00,533,20,4,2024-08-21 23:24:55.618377+00:00,0,3,30
How to TRIM your cake. (For beginners),2023-09-18 16:31:39+00:00,991,64,18,2024-08-21 23:24:56.327126+00:00,0,17,7
Plantain Muffins,2023-09-02 14:38:11+00:00,590,14,0,2024-08-21 23:24:58.410246+00:00,0,4,31
"Strawberry filling for cakes, desserts, bread, ice-cream and doughnut",2023-08-27 14:06:53+00:00,679,43,5,2024-08-21 23:24:59.284628+00:00,0,3,2
"Melt in the mouth, ORANGE CAKE",2023-07-11 16:46:49+00:00,1504,77,14,2024-08-21 23:25:00.320608+00:00,0,4,41
Banana Cake,2023-06-23 15:13:56+00:00,951,59,3,2024-08-21 23:25:01.146435+00:00,0,7,32
Tigernut Milk Drink : Kunnu aya : Kunu aya : Kunu,2023-06-09 10:22:01+00:00,70151,1490,113,2024-08-21 23:25:02.310374+00:00,0,17,23
Chinchin factories in Nigeria,2023-06-02 15:30:11+00:00,2015,71,36,2024-08-21 23:25:03.089550+00:00,0,3,7
10 reasons your cakes goes bad,2023-05-17 15:20:08+00:00,696,68,19,2024-08-21 23:25:03.926783+00:00,0,30,53
How to make carrot cake,2023-04-13 10:47:46+00:00,1193,50,6,2024-08-21 23:25:04.643367+00:00,0,6,52
How to make Zobo,2023-04-05 03:57:51+00:00,120928,2469,334,2024-08-21 23:25:05.400422+00:00,0,37,30
Oil based Vanilla Cake,2023-03-24 06:46:06+00:00,5681,128,28,2024-08-21 23:25:07.476660+00:00,0,4,18
Bread | Homemade Bread Recipe,2023-03-15 07:34:11+00:00,1736,58,11,2024-08-21 23:25:08.237884+00:00,0,7,43
How to make a traditional wedding cake. African bead cake. Palm wine gourd cake . Luggage Cake,2022-10-02 10:55:09+00:00,21575,457,53,2024-08-21 23:25:08.991415+00:00,0,28,50
"How to make STABLE WHIPPING CREAM, using POWDERED WHIPPING CREAM",2022-06-20 08:26:17+00:00,150816,2915,181,2024-08-21 23:25:09.680038+00:00,0,4,14
Coconut Cake | Moist and Tender Coconut Cake,2022-05-10 11:49:49+00:00,13123,291,40,2024-08-21 23:25:10.397796+00:00,0,4,18
COCONUT MILK | CREAM CHEESE FROSTING | CAKE FLOUR,2022-05-04 16:42:39+00:00,2225,75,12,2024-08-21 23:25:11.250057+00:00,0,2,3
How to make BOMBOLONI DOUGHNUT,2022-04-22 15:53:44+00:00,8562,282,42,2024-08-21 23:25:12.009781+00:00,0,13,5
