video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
Tunde Crusher VS  4Fufs 1Dragon Chicken,2024-05-19 10:32:33+00:00,2331,,15,2024-08-21 23:22:47.449986+00:00,0,3,25
Guess and Eat (Iconic Logos and Faces),2024-05-03 23:00:17+00:00,2229,,3,2024-08-21 23:22:47.975175+00:00,0,9,59
Guess and Eat (insects),2024-05-02 10:28:02+00:00,1817,,3,2024-08-21 23:22:49.293115+00:00,0,7,57
Guess and Eat 4,2024-03-23 11:32:00+00:00,3660,,12,2024-08-21 23:22:50.651870+00:00,0,10,13
Guess and Eat | Iconic Faces and Animals,2024-03-18 16:05:48+00:00,4190,,19,2024-08-21 23:22:51.193810+00:00,0,9,6
Guess & Eat | Countries and Peppersoup Ft. Whizzy,2024-03-16 10:36:12+00:00,3094,,4,2024-08-21 23:22:52.376347+00:00,0,10,12
VALENTINE DATE SPECIAL🩷 ft. Celyn & Daddy Yess | DRAGON CLAW CHALLENGE,2024-02-14 10:59:20+00:00,6168,,12,2024-08-21 23:22:54.850154+00:00,0,7,48
Foodlum Challenge,2023-10-30 06:00:20+00:00,5719,145.0,13,2024-08-21 23:22:55.761509+00:00,0,5,17
😄okro challenge🥹,2023-10-25 06:00:04+00:00,3949,104.0,5,2024-08-21 23:22:59.516872+00:00,0,3,24
papa and son try’s pineapple chicken,2023-10-19 06:00:01+00:00,5718,116.0,13,2024-08-21 23:23:00.131201+00:00,0,4,15
Yoruba Twins VS Turkeys,2023-10-14 06:00:15+00:00,3974,112.0,8,2024-08-21 23:23:00.717661+00:00,0,3,48
Foodlum Challenge  | Iamdikeh,2023-10-10 11:00:01+00:00,3610,123.0,8,2024-08-21 23:23:01.294108+00:00,0,5,22
Joy in having a small plantain shop,2023-10-10 06:00:12+00:00,1298,26.0,1,2024-08-21 23:23:01.962020+00:00,0,5,21
LASU try’s Egusi,2023-10-08 06:00:00+00:00,4031,71.0,11,2024-08-21 23:23:02.993233+00:00,0,4,24
LASU try’s 50 juice box,2023-10-06 06:00:12+00:00,1445,35.0,7,2024-08-21 23:23:03.929031+00:00,0,4,25
LASU try’s flaming noodles,2023-10-05 06:00:02+00:00,5945,131.0,21,2024-08-21 23:23:04.722051+00:00,0,8,59
Iyana world flip,2023-10-04 06:00:30+00:00,6853,94.0,4,2024-08-21 23:23:05.570358+00:00,0,5,12
White Agbero teaches us how to eat Indian food,2023-10-02 13:33:11+00:00,2229,65.0,12,2024-08-21 23:23:06.549773+00:00,0,9,57
KICK & EAT | MAKOKO,2023-09-02 10:29:51+00:00,10660,162.0,10,2024-08-21 23:23:07.295886+00:00,0,3,25
FLIP & EAT | Abule-Oja(UNILAG),2023-08-31 07:51:03+00:00,17769,205.0,9,2024-08-21 23:23:07.963702+00:00,0,3,2
SPIN & EAT | Live in Iyana Oworo,2023-04-16 07:44:17+00:00,64930,616.0,23,2024-08-21 23:23:09.221065+00:00,0,8,41
FLIP & EAT | Live in Abulegba,2023-04-11 05:00:04+00:00,380693,2180.0,162,2024-08-21 23:23:10.173624+00:00,0,6,20
FLIP & EAT | Live in Ebute Metta Round 2,2023-04-10 05:00:30+00:00,461843,2667.0,202,2024-08-21 23:23:11.234410+00:00,0,7,6
FLIP & EAT | Live in Sango Otta (MEN),2023-04-09 05:00:21+00:00,2774386,10127.0,490,2024-08-21 23:23:11.800267+00:00,0,4,38
UNILAG VS FOOD,2023-04-08 15:03:26+00:00,96745,695.0,39,2024-08-21 23:23:13.374124+00:00,0,5,19
SPIN & EAT | Live in Ebute Metta ROUND 2,2023-04-08 14:34:13+00:00,56962,254.0,7,2024-08-21 23:23:14.043359+00:00,0,8,19
FLIP & EAT | KIDS OF SANGO,2023-04-05 11:00:44+00:00,1205382,5081.0,386,2024-08-21 23:23:14.642242+00:00,0,8,34
SPIN & EAT | live in Ebute Metta,2023-04-05 07:00:09+00:00,363930,1318.0,59,2024-08-21 23:23:15.157193+00:00,0,5,34
