video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
"This  snack is so coconutty, you’ll love it. Will you try?",2024-08-21 12:18:24+00:00,12,2,1,2024-08-21 23:30:40.284737+00:00,0,3,25
There are different valid methods to making samosa wraps/This is one of them/ you like this method?,2024-08-15 17:47:35+00:00,48,8,0,2024-08-21 23:30:41.008083+00:00,0,5,22
NIGERIAN SNACKS// / SWEETENED COCONUT CHIPS,2024-06-08 21:14:54+00:00,105,3,1,2024-08-21 23:30:41.771256+00:00,0,2,34
How to  make Scotch eggs,2023-06-11 05:29:28+00:00,44,2,0,2024-08-21 23:30:42.533069+00:00,0,3,24
1 dough for 3 recipes. All purpose dough/RECIPES YOU SHOULD TRY THIS YEAR(2),2023-01-29 08:56:22+00:00,104,3,2,2024-08-21 23:30:43.271709+00:00,0,3,19
Eggless doughnuts! Light /fluffy /white lines[ check descroption👇],2023-01-20 20:31:39+00:00,148,9,0,2024-08-21 23:30:43.980376+00:00,0,2,18
Fish Roll. snacks recipes you should try this year....you can make money from these! (part1),2023-01-16 17:54:47+00:00,233,2,0,2024-08-21 23:30:44.669530+00:00,0,2,11
YUM! RICE AND BEEF SAUCE . Simple AND EASY...  WILL YOU TRY THIS?,2022-10-12 22:30:08+00:00,42,3,0,2024-08-21 23:30:45.370083+00:00,0,4,13
Chocolate Popsicles (no sound) KERRYGOLD advantage contest,2022-07-19 23:03:04+00:00,40,2,0,2024-08-21 23:30:46.075763+00:00,0,2,26
Decorate with me. No sound. Mickey mouse,2022-07-18 22:46:29+00:00,37,5,0,2024-08-21 23:30:46.854941+00:00,0,2,0
peppersoup( Turkey+plantain )you need to Try this,2022-06-17 00:29:50+00:00,22,2,0,2024-08-21 23:30:47.568810+00:00,0,3,34
chicken bread| tastes better than chicken pizza,2022-06-11 22:08:12+00:00,21,2,0,2024-08-21 23:30:48.294372+00:00,0,4,33
Sausage rolls{easy pastry}😋,2022-06-02 09:14:44+00:00,98,9,1,2024-08-21 23:30:49.010554+00:00,0,3,36
Chicken in coconut cream sauce and yellow rice,2022-05-31 15:33:54+00:00,14,0,0,2024-08-21 23:30:49.883702+00:00,0,4,47
Achi soup my first time!💃and semo fufu,2022-05-19 14:48:38+00:00,17,2,2,2024-08-21 23:30:50.604697+00:00,0,6,15
Nigerian Coconut chinchin,2022-05-15 21:09:00+00:00,24,1,0,2024-08-21 23:30:51.392314+00:00,0,3,26
I made stew with garden egg leaves! You need this stew for your rice 😋😋,2022-05-13 21:04:03+00:00,150,3,0,2024-08-21 23:30:52.133224+00:00,0,3,9
Gbegiri soup ( Nigerian beans soup),2022-05-11 15:00:29+00:00,51,2,0,2024-08-21 23:30:52.808097+00:00,0,1,47
Yam flour fufu,2022-05-11 14:54:40+00:00,39,1,0,2024-08-21 23:30:53.525364+00:00,0,2,36
How to cover a layer cake in buttercream,2022-05-09 13:57:37+00:00,37,3,0,2024-08-21 23:30:54.237604+00:00,0,7,24
Yeast egg buns,2022-05-06 11:39:36+00:00,4194,41,11,2024-08-21 23:30:54.960909+00:00,0,3,39
Let’s make stir fry with what you can find in your kitchen/fridge😋😋,2022-05-03 21:16:37+00:00,69,2,0,2024-08-21 23:30:55.675781+00:00,0,1,11
"Nigerian meat pie/ how to make the dough with magarine/ No baking powder, No eggs.",2022-05-01 19:51:42+00:00,83,5,0,2024-08-21 23:30:56.420819+00:00,0,3,13
Spicy coated peanuts,2022-04-28 19:48:55+00:00,633,18,0,2024-08-21 23:30:57.209747+00:00,0,6,22
NATURALLY SWEETENED zobo(hibiscus drink) Try this method.,2022-04-24 20:48:24+00:00,81,5,0,2024-08-21 23:30:57.926345+00:00,0,1,19
Seafood okro,2022-04-23 23:00:12+00:00,10,1,0,2024-08-21 23:30:58.609182+00:00,0,3,13
Make this Buka stew for your family on weekends!,2022-04-22 21:33:26+00:00,15,0,0,2024-08-21 23:30:59.336858+00:00,0,2,34
Nigerian  bean cake ]Road side Akara taste [ You need to make this for your family this weekend!,2022-04-22 21:30:10+00:00,12,1,0,2024-08-21 23:31:00.027382+00:00,0,3,28
