video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
Try this No-Knead Bread Recipe #shorts #zeeliciousfoods,2024-08-20 15:30:00+00:00,1353,112,9,2024-08-21 10:24:43.384993+00:00,0,1,1
A healthy-ish BUDGET FRIENDLY breakfast recipe you should try… #shorts #zeeliciousfoods,2024-07-26 13:10:19+00:00,9694,308,17,2024-08-21 10:24:44.024933+00:00,0,1,1
Reacting to my First Video /Celebrating 1 Million Subscribers/The Journey So far - Zeelicious Foods,2024-07-13 13:05:43+00:00,6305,620,152,2024-08-21 10:24:44.624959+00:00,0,18,24
What’s in my lunch bag?? Pack my lunch box with me. #shorts #zeeliciousfoods,2024-07-10 15:33:43+00:00,7312,255,6,2024-08-21 10:24:45.242364+00:00,0,1,1
VLOG - What I eat in a day to maintain a healthy weight & glowing skin + Spend the day with me!,2024-06-15 14:00:11+00:00,10537,463,45,2024-08-21 10:24:45.807072+00:00,0,21,45
Make Dinner With Me - High Protein & Fiber Rich Dinner Recipe - Zeelicious Foods,2024-06-08 12:30:18+00:00,8410,461,29,2024-08-21 10:24:46.473500+00:00,0,7,17
Healthy Dinner Meal Prep Recipes - 3 Highly Nutritious Dinner Recipes - Zeelicious Foods,2024-06-01 12:30:05+00:00,10235,481,27,2024-08-21 10:24:47.085396+00:00,0,12,15
A Budget Friendly Healthy Dinner Recipe You Should Try - Zeelicious Foods,2024-05-11 12:30:04+00:00,17642,495,29,2024-08-21 10:24:47.607989+00:00,0,5,33
Healthy Breakfast Meal Prep Recipes - 3 High Protein Breakfast Recipes - Zeelicious Foods,2024-04-27 12:30:32+00:00,17122,789,53,2024-08-21 10:24:48.129747+00:00,0,14,56
Everything I Pack in My Lunch Bag for the Week - Lunch Bag Meal Ideas - Zeelicious Foods,2024-04-13 13:00:05+00:00,6018,283,17,2024-08-21 10:24:48.676100+00:00,0,5,3
2 Brand New Oat Recipes - Zeelicious Foods,2024-03-30 12:30:17+00:00,9173,544,33,2024-08-21 10:24:49.228110+00:00,0,4,7
"Everything I Pack in My Lunch Bag + Can N5,000 still Make a Pot of Nigerian Soup Today??",2024-03-23 12:30:02+00:00,7792,318,22,2024-08-21 10:24:49.862901+00:00,0,4,12
Celebrating ONE MILLION SUBSCRIBERS!🎉🎊Taking a Trip Down Memory Lane! Come With Me Zeeliciousfoods,2024-03-21 14:56:05+00:00,12886,1671,310,2024-08-21 10:24:50.398872+00:00,0,2,12
3 Recipes You Can Make Using a PINEAPPLE as the Star ingredient - Zeelicious Foods,2024-03-16 12:00:02+00:00,8648,454,28,2024-08-21 10:24:50.976735+00:00,0,8,14
Let’s Make My Simple Dinner Together - Fish & Plantain - Zeelicious Foods,2024-03-09 12:30:05+00:00,8184,420,18,2024-08-21 10:24:51.761857+00:00,0,6,17
"If you are struggling to eat healthy food, watch this video! #zeeliciousfoods #shorts",2024-03-04 15:14:49+00:00,4380,205,8,2024-08-21 10:24:52.308122+00:00,0,1,1
"If you are struggling to eat healthy food, watch this video!",2024-03-02 12:44:08+00:00,4301,219,13,2024-08-21 10:24:52.958050+00:00,0,1,1
This Chilli Oil is a Game Changer For Your Meal + How to Make My Healthy Spicy Noodles Recipe,2024-03-02 12:00:03+00:00,10933,478,16,2024-08-21 10:24:53.574019+00:00,0,4,50
What I eat in a day to maintain a healthy weight - Zeelicious Foods,2024-02-17 13:32:04+00:00,8093,272,14,2024-08-21 10:24:54.198827+00:00,0,1,13
"If you have plantains, then should definitely make this for dinner…!!! #zeeliciousfoods",2024-02-13 15:53:28+00:00,19037,539,24,2024-08-21 10:24:54.798843+00:00,0,1,45
Everything I Ate at the Safari Valley Resort in Ghana 🇬🇭 #wieiad #zeeliciousfoods,2024-02-10 14:16:27+00:00,4298,193,15,2024-08-21 10:24:55.384200+00:00,0,1,42
Another What I Eat in a Day Video (Ghana Edition 🇬🇭) - Zeelicious Foods #wieiad,2024-02-04 13:24:18+00:00,4720,199,13,2024-08-21 10:24:55.930679+00:00,0,1,29
My Ghanian Sister Put Me to a Test to Interprete the Twi Language 🤭 Zeelicious Foods #ghana,2024-02-02 13:39:12+00:00,4689,254,18,2024-08-21 10:24:56.442914+00:00,0,3,11
A Healthy Way to Make Eforiro (Nigerian Vegetable Soup) - Zeelicious Foods,2024-02-01 15:16:53+00:00,15592,326,22,2024-08-21 10:24:57.069580+00:00,0,1,31
What I Ate on My First Day in Accra Ghana 🇬🇭- Zeelicious Foods #wieiad,2024-01-29 14:21:45+00:00,5128,224,17,2024-08-21 10:24:57.789891+00:00,0,1,17
If you eat Quinoa then you need to try these 3 Nigerian Inspired Quinoa Recipes - Zeelicious Foods,2024-01-27 13:16:14+00:00,6839,273,18,2024-08-21 10:24:58.545304+00:00,0,7,8
3 Breakfast Recipes to Add to Your Breakfast List - Healthy & Delicious Recipes,2024-01-20 12:45:30+00:00,8632,389,30,2024-08-21 10:24:59.590518+00:00,0,7,33
A realistic What I eat in a day to maintain a healthy weight… #shorts #zeeliciousfoods,2024-01-19 15:29:14+00:00,6653,216,14,2024-08-21 10:25:00.191802+00:00,0,1,1
Try this No-Knead Bread Recipe #shorts #zeeliciousfoods,2024-08-20 15:30:00+00:00,2578,167,10,2024-08-24 07:41:58.003248+00:00,0,1,1
A healthy-ish BUDGET FRIENDLY breakfast recipe you should try… #shorts #zeeliciousfoods,2024-07-26 13:10:19+00:00,9881,310,18,2024-08-24 07:41:58.398137+00:00,0,1,1
Reacting to my First Video /Celebrating 1 Million Subscribers/The Journey So far - Zeelicious Foods,2024-07-13 13:05:43+00:00,6342,626,152,2024-08-24 07:41:58.836012+00:00,0,18,24
What’s in my lunch bag?? Pack my lunch box with me. #shorts #zeeliciousfoods,2024-07-10 15:33:43+00:00,7357,255,6,2024-08-24 07:41:59.221765+00:00,0,1,1
