channel_name,subscriber_count,videos_count
SisiYemmieTV,1020000,1300
ZeeliciousFoods,1030000,780
FloChinyere,568000,741
diaryofakitchenlover,183000,608
FoodiesAndSpice,98000,1100
Adasrecipes,65900,343
ChefPlaysfootball,11300,1500
nigeriansvsfood,33700,67
NaijaBakersTV,27200,142
Allnigerianfoods,14800,78
CosyFoodie,8990,250
Temmys_Recipes,1920,220
mixnbake,2500,73
sussycakesrecipes,1490,137
Godiyatreats,766,97
foodnigeria1960,338,46
designwithrinda772,584,19
jesselitascakeplanet3504,435,29
BluCakes,488,73
cookwithFunmi,234,41
wonderfulyakubu3599,1150,38
