video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S,channel_name
No Oven Moist Orange Cake | Soft and Fluffy cake recipe,2024-08-03 17:00:29+00:00,352,20.0,4,2024-08-21 23:49:17.869185+00:00,0,8,7,Adasrecipe
HOW TO COOK OFE OWERRI SOUP | Finger licking Ofe Owerri Recipe,2024-07-24 15:16:53+00:00,519,16.0,4,2024-08-21 23:49:18.442448+00:00,0,8,10,Adasrecipe
Make this Yummy Chin Chin Flakes Recipe,2024-07-11 18:03:50+00:00,593,21.0,8,2024-08-21 23:49:19.033633+00:00,0,9,3,Adasrecipe
If you have Egg and Flour make this yummy Bread Buns Recipe,2024-07-04 14:44:52+00:00,133916,2094.0,301,2024-08-21 23:49:19.676672+00:00,0,8,4,Adasrecipe
Condensed Milk Cake Recipe | No Mixer Cake,2024-05-01 05:19:37+00:00,364,,2,2024-08-21 23:49:20.229865+00:00,0,4,33,Adasrecipe
Nigerian Pancakes Recipe | Nigerian Diet Pancake,2024-04-07 22:56:04+00:00,3399,52.0,4,2024-08-21 23:49:20.794769+00:00,0,8,9,Adasrecipe
Milky Doughnuts | How To Make Milky Doughnut filling,2024-03-31 19:02:04+00:00,1021,36.0,6,2024-08-21 23:49:21.405968+00:00,0,9,43,Adasrecipe
Fish Pie Recipe | How To Make Tasty Nigerian Fish Pie,2024-02-14 05:27:18+00:00,399,12.0,3,2024-08-21 23:49:21.978466+00:00,0,5,17,Adasrecipe
Egusi Soup with Ukazi | How to cook Egusi Soup with Ukazi,2024-02-05 19:45:24+00:00,521,,2,2024-08-21 23:49:22.579780+00:00,0,4,20,Adasrecipe
Jollof Rice Recipe you will enjoy | No Tomato paste Tasty Jollof Rice,2024-02-02 17:09:01+00:00,598,,4,2024-08-21 23:49:23.158081+00:00,0,3,22,Adasrecipe
Weight Gain Food | This recipe is all you need for 7 days to gain weight,2024-01-08 19:14:26+00:00,402,12.0,0,2024-08-21 23:49:23.741138+00:00,0,2,3,Adasrecipe
"Milk Chin Chin Recipe | Tasty, Crunchy, Soft Nigerian Chin Chin",2023-12-24 07:19:07+00:00,1356,30.0,3,2024-08-21 23:49:24.285196+00:00,0,8,40,Adasrecipe
Nigerian Buns without Eggs | How To make Soft and Crunchy Nigerian Buns Recipe,2023-12-11 20:48:14+00:00,695,11.0,4,2024-08-21 23:49:24.836910+00:00,0,4,14,Adasrecipe
BANANA CAKE RECIPE FOR BEGINNERS | EASY NIGERIAN CAKE RECIPE,2023-11-13 13:06:27+00:00,565,19.0,2,2024-08-21 23:49:25.383951+00:00,0,3,38,Adasrecipe
Nigerian Noddles Recipe | Tasty Quick Noodles you will enjoy,2023-10-19 20:32:37+00:00,255,11.0,6,2024-08-21 23:49:25.907728+00:00,0,3,18,Adasrecipe
