video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
No Oven Moist Orange Cake | Soft and Fluffy cake recipe,PT8M7S,2024-08-03 17:00:29+00:00,352,20,4,2024-08-21 23:49:17.869185+00:00
HOW TO COOK OFE OWERRI SOUP | Finger licking Ofe Owerri Recipe,PT8M10S,2024-07-24 15:16:53+00:00,519,16,4,2024-08-21 23:49:18.442448+00:00
Make this Yummy Chin Chin Flakes Recipe,PT9M3S,2024-07-11 18:03:50+00:00,593,21,8,2024-08-21 23:49:19.033633+00:00
If you have Egg and Flour make this yummy Bread Buns Recipe,PT8M4S,2024-07-04 14:44:52+00:00,133916,2094,301,2024-08-21 23:49:19.676672+00:00
Condensed Milk Cake Recipe | No Mixer Cake,PT4M33S,2024-05-01 05:19:37+00:00,364,,2,2024-08-21 23:49:20.229865+00:00
Nigerian Pancakes Recipe | Nigerian Diet Pancake,PT8M9S,2024-04-07 22:56:04+00:00,3399,52,4,2024-08-21 23:49:20.794769+00:00
Milky Doughnuts | How To Make Milky Doughnut filling,PT9M43S,2024-03-31 19:02:04+00:00,1021,36,6,2024-08-21 23:49:21.405968+00:00
Fish Pie Recipe | How To Make Tasty Nigerian Fish Pie,PT5M17S,2024-02-14 05:27:18+00:00,399,12,3,2024-08-21 23:49:21.978466+00:00
Egusi Soup with Ukazi | How to cook Egusi Soup with Ukazi,PT4M20S,2024-02-05 19:45:24+00:00,521,,2,2024-08-21 23:49:22.579780+00:00
Jollof Rice Recipe you will enjoy | No Tomato paste Tasty Jollof Rice,PT3M22S,2024-02-02 17:09:01+00:00,598,,4,2024-08-21 23:49:23.158081+00:00
Weight Gain Food | This recipe is all you need for 7 days to gain weight,PT2M3S,2024-01-08 19:14:26+00:00,402,12,0,2024-08-21 23:49:23.741138+00:00
"Milk Chin Chin Recipe | Tasty, Crunchy, Soft Nigerian Chin Chin",PT8M40S,2023-12-24 07:19:07+00:00,1356,30,3,2024-08-21 23:49:24.285196+00:00
Nigerian Buns without Eggs | How To make Soft and Crunchy Nigerian Buns Recipe,PT4M14S,2023-12-11 20:48:14+00:00,695,11,4,2024-08-21 23:49:24.836910+00:00
BANANA CAKE RECIPE FOR BEGINNERS | EASY NIGERIAN CAKE RECIPE,PT3M38S,2023-11-13 13:06:27+00:00,565,19,2,2024-08-21 23:49:25.383951+00:00
Nigerian Noddles Recipe | Tasty Quick Noodles you will enjoy,PT3M18S,2023-10-19 20:32:37+00:00,255,11,6,2024-08-21 23:49:25.907728+00:00
Bitter leaf Soup Recipe | How To cook delicious Ofe Onugbu,PT3M6S,2023-10-10 18:29:48+00:00,381,21,6,2024-08-21 23:49:26.517159+00:00
Egusi Soup | How To Make Easy Tasty Chewy Egusi Soup Recipe,PT4M3S,2023-09-18 15:26:49+00:00,398,13,4,2024-08-21 23:49:27.205849+00:00
No Oven Nigerian Vanilla Cake recipe for Beginners,PT5M19S,2023-09-09 19:09:48+00:00,886,33,14,2024-08-21 23:49:27.805582+00:00
Nigerian Buns Recipe | How to make Easy Tasty Soft Nigerian Buns,PT4M30S,2023-08-07 16:06:59+00:00,1199,30,6,2024-08-21 23:49:28.361671+00:00
Spring Rolls Recipe | How to make Perfect Vegetable Spring Rolls as a beginner,PT10M13S,2023-07-13 08:06:18+00:00,1010,34,5,2024-08-21 23:49:28.931794+00:00
Chicken Sauce Recipe | Quick and Tasty Chicken Sauce,PT3M3S,2023-06-19 11:00:35+00:00,341,11,2,2024-08-21 23:49:29.566575+00:00
Cookies Recipe | How to make Very Easy Yummy Cookies at home,PT5M2S,2023-05-17 21:36:24+00:00,1345,37,11,2024-08-21 23:49:30.138108+00:00
Carrot Chin Chin Recipe | How To make Soft and Crunchy Chin Chin,PT12M1S,2023-05-06 21:47:19+00:00,1043,31,7,2024-08-21 23:49:30.743654+00:00
Ponmo and Ugba Sauce Recipe | Kpomo Ngwo Ngwo | Cowskin Sauce,PT3M29S,2023-04-28 15:00:34+00:00,688,15,6,2024-08-21 23:49:31.309401+00:00
Uziza Soup Recipe | How to make Easy Finger licking Uziza Soup,PT5M4S,2023-04-07 20:27:36+00:00,871,15,6,2024-08-21 23:49:31.865061+00:00
How To Make Very Easy Shawarma Bread at Home,PT5M4S,2023-04-02 16:00:18+00:00,3165,39,7,2024-08-21 23:49:32.460155+00:00
How To Make Pizza at home without Cheese and Oven,PT10M2S,2023-03-13 12:35:00+00:00,27866,413,46,2024-08-21 23:49:33.030444+00:00
Easy Delicious Nigerian Ogbono Soup with Okro,PT4M2S,2023-03-01 17:10:43+00:00,42831,534,41,2024-08-21 23:49:33.624570+00:00
