video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
How To Make Chocolate Drip,PT3M17S,2023-12-08 10:38:02+00:00,23,1,0,2024-08-21 23:41:35.811746+00:00
BAKING FUN FOR KIDS,PT1M1S,2023-08-03 02:42:10+00:00,46,4,3,2024-08-21 23:41:36.575727+00:00
Citrus Cup Cake With Vanilla Yoghurt Coated Raisins,PT12M59S,2022-12-16 18:30:11+00:00,31,4,4,2024-08-21 23:41:37.297026+00:00
1st Quarter Season Review,PT14M32S,2022-12-09 18:30:18+00:00,127,2,0,2024-08-21 23:41:38.052887+00:00
How To Make Signature Brownies,PT14M56S,2022-12-02 19:11:08+00:00,29,5,4,2024-08-21 23:41:38.781561+00:00
How To Make Vanilla Swiss Roll,PT15M,2022-11-25 18:30:08+00:00,32,4,0,2024-08-21 23:41:39.524631+00:00
How To Make Apple Blondies With Chocolate Chip,PT15M1S,2022-11-18 18:30:24+00:00,42,4,4,2024-08-21 23:41:40.276405+00:00
How To Make Corn Dogs,PT14M33S,2022-11-11 18:30:11+00:00,51,8,2,2024-08-21 23:41:41.066274+00:00
"Bakes, Cake Making Fun ! Season 3!",PT1M3S,2022-11-09 05:18:15+00:00,11,2,0,2024-08-21 23:41:41.786070+00:00
Season 2 Finale,PT14M59S,2022-07-29 18:30:20+00:00,30,5,4,2024-08-21 23:41:42.534469+00:00
chocolate Chip Loaf,PT15M51S,2022-07-22 20:28:50+00:00,27,3,0,2024-08-21 23:41:43.239044+00:00
How To Make Banana Lime Cake the Easy Way.,PT15M,2022-07-15 18:30:11+00:00,43,6,0,2024-08-21 23:41:44.010259+00:00
How To Make Carrot Puff Puff( Part 2 Baking Fun for Kids),PT14M50S,2022-07-08 18:30:19+00:00,36,5,2,2024-08-21 23:41:44.767608+00:00
How To Make Carrot Puff Puff(Baking Fun For Kids Pt 2),PT14M50S,2022-07-08 18:30:09+00:00,39,7,0,2024-08-21 23:41:45.484211+00:00
Warm Molten Centered Chocolate Cupcake,PT13M2S,2022-07-01 19:26:57+00:00,45,5,2,2024-08-21 23:41:46.179760+00:00
How To Make Hot Dog Buns at Home//homemade hot dog buns,PT14M59S,2022-06-24 18:30:13+00:00,73,9,4,2024-08-21 23:41:46.903881+00:00
How To Make Victoria Sponge Cake at home.,PT14M41S,2022-06-10 18:30:10+00:00,109,13,6,2024-08-21 23:41:47.653090+00:00
How To Motivate  Your Staff,PT6M45S,2022-06-06 20:19:37+00:00,15,6,2,2024-08-21 23:41:48.325136+00:00
Black Forest Cake,PT14M59S,2022-06-03 18:30:12+00:00,86,13,0,2024-08-21 23:41:49.098558+00:00
Anniversary Show,PT11M29S,2022-05-20 17:25:34+00:00,50,7,8,2024-08-21 23:41:49.858573+00:00
Five Top Skills in Developing Your Team Pt 2,PT3M36S,2022-05-16 21:00:37+00:00,11,3,0,2024-08-21 23:41:50.610458+00:00
How To Make Nigerian Meatpie with gas cooker  in 2022(Edited),PT17M3S,2022-05-15 22:32:48+00:00,894,6,3,2024-08-21 23:41:51.334454+00:00
How To Make Doughnuts,PT14M47S,2022-05-06 18:30:12+00:00,92,10,5,2024-08-21 23:41:52.048366+00:00
5 Top Skills For Your Teams Development,PT4M14S,2022-05-04 15:48:39+00:00,15,4,2,2024-08-21 23:41:52.783378+00:00
"How To Make Milk Bread (No Egg, No Butter)",PT12M9S,2022-04-29 18:11:29+00:00,69,6,4,2024-08-21 23:41:53.562523+00:00
Crispy Oatmeal Cookies in 20 minutes,PT13M27S,2022-04-22 19:43:51+00:00,45,6,0,2024-08-21 23:41:54.305496+00:00
Market Positioning,PT8M16S,2022-04-13 18:51:28+00:00,15,3,0,2024-08-21 23:41:55.051962+00:00
Join our Affiliate Team,PT1M,2022-04-01 17:36:25+00:00,30,7,0,2024-08-21 23:41:55.781258+00:00
