video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
Extra CRISPY Suya Spice Tofu - No Frying!,PT3M39S,2024-08-18 16:34:12+00:00,53,10,1,2024-08-21 23:28:34.652835+00:00
High Protein Lentil Bolognese | My New Kitchen + Naked Wines!,PT6M55S,2024-08-11 16:53:52+00:00,73,13,1,2024-08-21 23:28:35.553427+00:00
1-Ingredient Black Bean Flatbread | Gluten Free Recipe,PT2M7S,2024-08-04 16:30:00+00:00,2182,126,8,2024-08-21 23:28:36.523719+00:00
Incredible Chocolate Chip Cookies in 10 Mins | vegan + easy recipe,PT2M30S,2024-07-28 21:00:24+00:00,113,7,0,2024-08-21 23:28:37.566177+00:00
"1 Minute Coffee Cake with Whipped Cream | Soft, Eggless, Dairy-Free Recipe",PT3M9S,2024-07-21 16:30:07+00:00,274,23,3,2024-08-21 23:28:39.501182+00:00
"Dreamy Coconut Cake | No Egg, No Butter, One Bowl",PT2M26S,2024-07-14 16:30:02+00:00,3812,49,3,2024-08-21 23:28:41.492854+00:00
The Best Vegan BANANA CAKE Recipe,PT3M18S,2024-07-07 11:00:14+00:00,290,20,2,2024-08-21 23:28:42.696763+00:00
"Vegan Biscoff Cheesecake - No Oven, No Tofu, No Nuts | PLUS how to fix split cheesecake batter",PT5M6S,2024-06-30 16:30:03+00:00,361,21,0,2024-08-21 23:28:44.319886+00:00
Cabin Biscuit Cheesecake | Easy Baked Vegan Cheesecake,PT3M15S,2024-06-23 16:30:00+00:00,88,8,4,2024-08-21 23:28:45.583652+00:00
This Chocolate Sauce (or Dip) Has A Secret Ingredient,PT3M14S,2024-06-16 16:30:06+00:00,74,8,1,2024-08-21 23:28:46.878605+00:00
How To Make Welsh Cakes  - Egg Free & Dairy Free,PT2M39S,2024-06-09 17:30:02+00:00,84,8,2,2024-08-21 23:28:48.169336+00:00
I Attended A Vegan Fine Dining Event,PT3M6S,2024-06-02 18:30:05+00:00,71,13,1,2024-08-21 23:28:50.702234+00:00
Beans And Plantain Waffles - no talking; a bit of ASMR cooking,PT5M5S,2024-05-19 16:30:10+00:00,83,10,7,2024-08-21 23:28:52.634461+00:00
"Zero Waste Lasagna | Non Traditional, Vegan, Enough To Feed An Army",PT3M43S,2024-05-12 17:00:15+00:00,255,16,0,2024-08-21 23:28:53.565188+00:00
Smoky Jollof Rice - I'll Show You How In Under 3 Minutes,PT2M39S,2024-05-05 17:00:04+00:00,558,33,6,2024-08-21 23:28:55.080821+00:00
No Bake Carrot Cake With Cashew Cream Frosting,PT5M24S,2024-04-28 17:50:08+00:00,190,17,3,2024-08-21 23:28:56.115134+00:00
