video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
EWEDU SOUP! ALFA OLORUNGBEBE STYLE | MARKET SERIES WITH CHEF T | DIRYOFAKITCHENLOVER,PT15M37S,2024-08-13 14:23:33+00:00,15670,497,44,2024-08-21 10:28:30.789457+00:00
ESA SOUP | BENISEED SOUP | DIARYOFAKITCHENLOVER | SOUP RECIPES,PT1M31S,2024-08-06 10:41:04+00:00,1944,77,6,2024-08-21 10:28:31.341189+00:00
CHEF T AND MAMA DEOLA FOLLOWERS PARTY FILLED WITH SO MUCH FOOD AND LAUGHTER,PT44M22S,2024-08-05 13:32:28+00:00,3884,168,21,2024-08-21 10:28:31.943688+00:00
SISTER MARY AND FRIENDS SHARED THEIR OHA SOUP RECIPE | MARKET SERIES WITH CHEF T | OHA SOUP,PT21M17S,2024-07-25 14:37:46+00:00,4810,317,70,2024-08-21 10:28:32.577069+00:00
LOCAL NIGERIAN SPICES | DIARYOFAKITCHENLOVER,PT1M30S,2024-07-23 13:46:04+00:00,1901,100,6,2024-08-21 10:28:33.180171+00:00
AFANG SOUP! THE MAMA COMFORT STYLE | AFANG SOUP RECIPE,PT16M36S,2024-07-20 07:54:49+00:00,6740,347,60,2024-08-21 10:28:33.781873+00:00
VERY TASTY BAKED SAUSAGE ROLLS | DIARYOFAKITCHENLOVER | #RECIPES,PT8M49S,2024-07-15 08:55:58+00:00,4267,246,35,2024-08-21 10:28:34.437621+00:00
EATING COMPETITION. WHO WON?!,PT2M27S,2024-07-12 13:28:51+00:00,2535,130,8,2024-08-21 10:28:35.064509+00:00
MAMA HOZANA SHARES HER EDIKAIKONG RECIPE | MARKET SERIES | EDIKAIKONG SOUP,PT19M36S,2024-07-08 18:23:14+00:00,42102,974,183,2024-08-21 10:28:35.810120+00:00
PARTY STEW HAS A SECRET TECHNIQUE. WATCH THIS! | DIARYOFAKITCHENLOVER,PT6M24S,2024-07-05 18:08:51+00:00,27339,846,99,2024-08-21 10:28:36.346074+00:00
VERY FUNNY BTS WITH MAMA DEOLA AND CHEF T | DIARYOFAKITCHENLOVER,PT21M54S,2024-07-03 08:06:25+00:00,18260,713,71,2024-08-21 10:28:37.007937+00:00
500K WILL BUILD YOU YOUR DREAM KITCHEN! | KITCHEN ON A BUDGET | DIARYOFAKITCHENLOVER,PT14M46S,2024-06-28 19:26:05+00:00,10446,590,59,2024-08-21 10:28:37.698495+00:00
COOK BEANS PORRIDGE LIKE A PRO! | BEANS RECIPE | DIARYOFAKITCHENLOVER,PT9M9S,2024-06-25 19:06:58+00:00,11132,445,71,2024-08-21 10:28:38.331856+00:00
SIMPLE GOAT CURRY SAUCE! THE EASIEST RECIPE | DIARYOFAKITCHENLOVER #recipe,PT5M47S,2024-06-23 11:06:57+00:00,3776,267,41,2024-08-21 10:28:38.823246+00:00
I COOKED PEPPERSOUP CONCOCTION RICE WITH ASHER | GOODNESS KITCHEN WITH CHEF T,PT55S,2024-06-18 07:34:48+00:00,229375,189,4,2024-08-21 10:28:39.424698+00:00
THE BEST ASUN RICE RECIPE | GOATMEAT RICE RECIPE | DIARYOFAKITCHENLOVER #cookingvideo #cooking,PT5M13S,2024-06-17 13:24:54+00:00,5389,340,60,2024-08-21 10:28:40.043645+00:00
VERY SIMPLIFIED EWA AGOYIN AND AGOYIN SAUCE RECIPE | AGOYIN BEANS AND STEW | DIARYOFAKITCHENLOVER,PT6M4S,2024-06-14 15:58:19+00:00,86355,2392,449,2024-08-21 10:28:40.661679+00:00
DON’T DO THESE IN YOUR KITCHEN 🛑 | BEST KITCHEN HYGIENE TIPS | DIARYOFAKITCHENLOVER,PT6M20S,2024-06-12 08:00:47+00:00,2461,174,10,2024-08-21 10:28:41.272401+00:00
HOW TO COOK JASMINE RICE THE EASIEST WAY | EGG STIR FRIED RICE | DIARYOFAKITCHENLOVER #recipes,PT6M31S,2024-06-10 06:23:04+00:00,5732,328,79,2024-08-21 10:28:42.117294+00:00
SIMPLE YAMARITA AND EGG SAUCE FROM THE SCRATCH | YAMARITA | FRIED EGGS | DIARYOFAKITCHENLOVER,PT8M51S,2024-06-08 08:48:32+00:00,12525,693,209,2024-08-21 10:28:42.712647+00:00
DIFFERENT COOKING METHODS I BET YOU DIDNT KNOW ABOUT | COOKING METHODS | DIARYOFAKITCHENLOVER,PT2M35S,2024-06-07 06:43:04+00:00,1966,153,14,2024-08-21 10:28:43.323685+00:00
STIR FRIED NOODLES COOKED THE BEST WAY | DIARYOFAKITCHENLOVER | NOODLES RECIPE,PT3M54S,2024-06-03 19:47:09+00:00,9419,547,74,2024-08-21 10:28:43.970505+00:00
DO YOU EAT INU ERAN? (OFALS)? SEE HOW I COOKED THIS! YOU’LL LOVE IT! | DIARYOFAKITCHENLOVER #cooking,PT5M1S,2024-05-29 13:39:49+00:00,4050,273,49,2024-08-21 10:28:44.757451+00:00
MALTA CREAMY PASTA WITH AND MALTA PINACOLADA | EXCLUSIVE EPISODE OF GOODNESS KITCHEN WITH CHEF T!,PT21M10S,2024-05-19 08:42:20+00:00,2360,128,7,2024-08-21 10:28:45.387292+00:00
MAMA DEOLA AND CHEF T. VERY FUNNY BEHIND THE SCENES | DIARYOFAKITCHENLOVER,PT17M12S,2024-05-18 07:42:55+00:00,19923,987,76,2024-08-21 10:28:46.013877+00:00
VERY EASY HOME MADE ASUN (ROASTED GOAT MEAT) | DIARYOFAKITCHENLOVER,PT5M24S,2024-05-16 18:41:42+00:00,6360,349,14,2024-08-21 10:28:46.629696+00:00
OFE NSALA | GOODNESS KITCHEN WITH CHEF T | MALTA GUINNESS,PT56S,2024-05-13 11:21:38+00:00,846943,19955,4,2024-08-21 10:28:47.623708+00:00
SHREDDED BEEF SAUCE AND MALT MOCKTAIL | GOODNESS KITCHEN WITH CHEF T | MALTA GUINNESS,PT42S,2024-05-13 11:21:33+00:00,902412,391,2,2024-08-21 10:28:48.228242+00:00
