video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
YOU ARE HOW YOU EAT YOUR FOOD Part 2 | Flo Chinyere,PT10M41S,2024-06-07 18:53:23+00:00,6677,263,40,2024-08-21 10:26:32.307902+00:00
Raising Teenagers | Weekend to Remember | Inspiring Young Lady | Flo Chinyere,PT23M33S,2024-05-16 18:00:34+00:00,12274,440,104,2024-08-21 10:26:32.863968+00:00
Odogwu Reviews Nwa Boi Movie | If you Know How to Eat You Should Know How to Cook | Flo Chinyere,PT27M36S,2024-04-27 18:11:32+00:00,12366,363,84,2024-08-21 10:26:33.453984+00:00
STORY TIME: How UK Relocation Depression Nearly Derailed My Life | Flo Chinyere,PT16M12S,2024-04-21 15:58:23+00:00,39448,904,206,2024-08-21 10:26:34.045848+00:00
"Cook With Me: Tastiest Nigerian Moi Moi Cooked with FROZEN Etere, Uma Leaves | Flo Chinyere",PT17M41S,2024-04-04 14:59:59+00:00,28283,623,108,2024-08-21 10:26:34.710315+00:00
"VLOG: Home Repairs, Heavy Food Prep & Locs Update | Flo Chinyere",PT17M23S,2024-03-29 20:02:17+00:00,11237,375,111,2024-08-21 10:26:35.287118+00:00
THINGS NIGERIANS WILL NEVER ENJOY Part 2 | Flo Chinyere,PT13M5S,2024-03-23 17:26:56+00:00,6240,268,98,2024-08-21 10:26:35.930020+00:00
Bone Broth with Collagen Goodness | How to Make the Most Health Beneficial Bone Broth | Flo Chinyere,PT9M58S,2024-03-14 18:13:28+00:00,8589,360,39,2024-08-21 10:26:36.479166+00:00
How Igbos Celebrate Mother's Day | Celebrating with my 3 Mums | Flo Chinyere,PT25M19S,2024-03-11 14:57:42+00:00,8395,387,67,2024-08-21 10:26:37.095319+00:00
How To Cook Bitterleaf Soup with Cocoyam Powder | Flo Chinyere,PT12M8S,2024-03-07 16:00:10+00:00,14530,487,57,2024-08-21 10:26:37.705610+00:00
"COOK, EAT & CHAT WITH ME: Buckling Under the Weight of Nigerian Problems | Flo Chinyere",PT22M59S,2024-03-01 18:57:59+00:00,21591,707,147,2024-08-21 10:26:38.425617+00:00
Qualifications for Offshore Job Positions | Flo Chinyere,PT24M22S,2024-02-28 15:44:35+00:00,4003,236,39,2024-08-21 10:26:39.153662+00:00
VLOG: Getting My Hair Loc'ed - Pathological Liar Man - Basketball Mum | Flo Chinyere,PT26M,2024-02-25 12:59:11+00:00,8294,369,73,2024-08-21 10:26:40.517507+00:00
OFFSHORE JOB POSITIONS You Can Work In | You'll Be Shocked at How Many There are | Flo Chinyere,PT19M41S,2024-02-23 16:30:50+00:00,7844,553,83,2024-08-21 10:26:41.087409+00:00
Yet Another Reminder ...,PT17M40S,2024-02-13 18:16:09+00:00,7784,383,129,2024-08-21 10:26:41.668217+00:00
Leaving NIGERIA | My Nigerian Food TRASHED,PT11M23S,2024-02-05 17:45:38+00:00,20316,950,163,2024-08-21 10:26:42.211959+00:00
End of Project | Leaving Offshore Location | Flo Chinyere,PT17M33S,2024-02-01 16:10:54+00:00,10267,571,135,2024-08-21 10:26:42.927359+00:00
Nigerians Share their Experiences Working Offshore | Flo Chinyere,PT20M40S,2024-01-29 16:42:35+00:00,9509,420,90,2024-08-21 10:26:43.729038+00:00
Working Offshore as the Only Female Engineer | What It's Really Like | Flo Chinyere,PT27M33S,2024-01-25 16:00:33+00:00,57729,1612,333,2024-08-21 10:26:44.361015+00:00
Let's Go For a Walk Offshore | Flo Chinyere,PT8M43S,2024-01-04 16:00:14+00:00,9306,507,112,2024-08-21 10:26:44.915409+00:00
Happy New Year from Offshore Location! | Flo Chinyere,PT10M11S,2024-01-02 15:57:40+00:00,12120,702,104,2024-08-21 10:26:45.500667+00:00
Offshore DIET | Why We Love this Job! | Flo Chinyere,PT8M9S,2023-12-30 16:00:29+00:00,15992,663,73,2024-08-21 10:26:46.072842+00:00
Santa Came Offshore! | Flo Chinyere,PT8M23S,2023-12-27 15:07:14+00:00,11988,599,102,2024-08-21 10:26:46.618083+00:00
Commute to Work Offshore With Me | Flo Chinyere,PT9M37S,2023-12-25 15:36:54+00:00,60156,2524,330,2024-08-21 10:26:47.179174+00:00
Before I Travel Offshore for Work | Flo Chinyere,PT13M36S,2023-12-23 17:00:20+00:00,18213,921,115,2024-08-21 10:26:47.831792+00:00
Travel to Nigeria for Christmas 2023? | Flo Chinyere,PT19M36S,2023-12-21 17:00:37+00:00,16577,740,139,2024-08-21 10:26:48.423755+00:00
Moist Non Alcoholic Fruit Cake for my Viewers | Flo Chinyere,PT8M13S,2023-12-18 17:00:04+00:00,4030,248,46,2024-08-21 10:26:49.023759+00:00
Flo Don Drop UPDATE,PT13M43S,2023-12-15 17:00:23+00:00,8071,319,50,2024-08-21 10:26:49.623797+00:00
