video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
coated peanuts/how to make coated peanuts +small business idea,PT8M29S,2023-08-15 21:40:18+00:00,203,24,6,2024-08-21 23:35:19.407325+00:00
pepperoni pizza/how to make pepperoni pizza recipe/from scratch,PT7M12S,2023-08-11 20:04:31+00:00,494,21,3,2024-08-21 23:35:20.128823+00:00
nigerian meat pie/how to make nigerian meat pie/from scratch,PT8M44S,2023-08-04 20:00:04+00:00,743,18,12,2024-08-21 23:35:20.815475+00:00
liver stew recipe/nigerian style/quick&easy,PT7M26S,2023-07-28 15:59:00+00:00,322,22,10,2024-08-21 23:35:21.517986+00:00
how to make peanut butter at home/quick&easy,PT10M3S,2023-07-19 16:07:28+00:00,126,13,6,2024-08-21 23:35:22.204554+00:00
"ofada stew step by step recipe, very detailed/quick&easy ayamase /designer stew",PT13M30S,2023-07-15 18:05:21+00:00,168,14,6,2024-08-21 23:35:22.928144+00:00
"no knead, no mixer quick&easy bread recipe",PT7M6S,2023-06-30 16:13:13+00:00,418,,6,2024-08-21 23:35:23.639089+00:00
quick&easy kpof kpof/free tips on how to achieve the best mixture+outstanding taste,PT7M31S,2023-06-16 17:39:21+00:00,277,13,6,2024-08-21 23:35:24.344687+00:00
nigerian egusi soup recipe//lumpy melon seed soup,PT7M18S,2023-06-09 18:00:16+00:00,92,3,6,2024-08-21 23:35:25.001236+00:00
quick&easy bread recipe/burger buns bread 🤗❣,PT5M16S,2023-06-01 17:46:04+00:00,143,15,2,2024-08-21 23:35:25.767216+00:00
how to make minced meat sauce/ spaghetti bolognese sauce recipe ❣,PT7M53S,2023-05-26 17:57:05+00:00,272,,7,2024-08-21 23:35:26.458263+00:00
"how to bake soft/moist  cupcakes with no milk, egg,and butter❣",PT5M36S,2023-05-23 17:13:38+00:00,126,,4,2024-08-21 23:35:27.196477+00:00
how to make vanilla cupcakes recipe without butter/beginners friendly ❣,PT5M18S,2023-05-19 17:54:55+00:00,134,,4,2024-08-21 23:35:27.941886+00:00
how to make your own yogurt culture/starter//with easy and simple steps,PT6M1S,2023-05-11 17:40:37+00:00,7306,,28,2024-08-21 23:35:28.715035+00:00
how to bake buttersoft bread at home without baking machine /easy&simple ❣,PT7M4S,2023-05-02 19:29:44+00:00,169,,9,2024-08-21 23:35:29.480031+00:00
how to cook delicious ofe akwu /banga soup recipe❣,PT4M53S,2023-04-25 19:06:51+00:00,83,,8,2024-08-21 23:35:30.188966+00:00
how to make plain nigerian sesame leave soup a.k.a miyan karkashi,PT3M57S,2023-04-18 19:34:45+00:00,1053,33,14,2024-08-21 23:35:30.873875+00:00
"how to bake nigerian butter bread at home/soft,fluffy/easy recipe",PT6M36S,2023-04-11 19:29:03+00:00,453,24,28,2024-08-21 23:35:31.673939+00:00
how to bake softmoist/fluffy vanilla cake recipe at home,PT4M39S,2023-04-04 20:03:02+00:00,252,,6,2024-08-21 23:35:32.391837+00:00
how to make  vegetable/beef sauce with coconut milk rice,PT5M2S,2023-03-28 18:54:24+00:00,162,9,9,2024-08-21 23:35:33.100371+00:00
special spageti/gizzard stir fry recipe //quick&easy,PT4M44S,2023-03-21 18:59:03+00:00,97,12,10,2024-08-21 23:35:33.792813+00:00
not everyone knows this style /new cabbage recipe ❣️/lunch/dinner/ 😋,PT5M14S,2023-02-06 18:10:24+00:00,227,20,4,2024-08-21 23:35:34.549563+00:00
tasty and spicy gizzard recipe/taste so good 😋❣️/easy and quick to make,PT3M23S,2023-02-01 09:15:38+00:00,77,9,2,2024-08-21 23:35:35.269535+00:00
"""healthy local wine""zobo /hibiscus drink/quick &easy",PT3M52S,2023-01-26 19:12:35+00:00,247,9,4,2024-08-21 23:35:36.016430+00:00
"only few people knows this method of veggies stir fry 😋/simple & easy,the taste will amaze you 😊❤️",PT3M2S,2023-01-23 09:39:44+00:00,504,15,10,2024-08-21 23:35:36.726904+00:00
simple and easy to make garlic butter liver recipe 😋❤️/taste amazingly good,PT3M41S,2023-01-16 19:20:39+00:00,464,18,16,2024-08-21 23:35:37.441535+00:00
unripe plantain recipe you must try 🤗/lunch/dinner ❣️,PT2M28S,2023-01-10 09:55:15+00:00,65,18,6,2024-08-21 23:35:38.119260+00:00
spicy concoction rice recipe 😋😍❣️/lunch/dinner/Best recipe,PT4M24S,2022-12-20 09:33:46+00:00,194,22,11,2024-08-21 23:35:38.925064+00:00
