video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
"How to decorate coffee marble on a tray, coffee marble cake",PT1M52S,2023-11-28 15:22:17+00:00,183,1,0,2024-08-21 23:40:18.651506+00:00
Easiest multiple colour lollipop cake decoration. With over 10 inches high cake,PT9M59S,2023-10-25 04:07:40+00:00,56,0,0,2024-08-21 23:40:19.322560+00:00
23 October 2023,PT9M52S,2023-10-23 15:10:15+00:00,134,4,2,2024-08-21 23:40:20.019900+00:00
White buttercream cake design with gold fan and chocolates,PT6M46S,2023-10-20 17:54:27+00:00,84,3,0,2024-08-21 23:40:20.692226+00:00
"How to make Bento cakes, Bento cuppies, Bento cakes made easy, cup cakes decoration",PT1M53S,2023-10-07 01:58:17+00:00,130,4,0,2024-08-21 23:40:21.415543+00:00
"How to make Fan Cake Topper using paper, paper fan made easy, fan paper craft",PT8M29S,2023-09-28 04:12:31+00:00,76,3,0,2024-08-21 23:40:22.104566+00:00
"How to make Pizza, how to make pizza crust, tomatoes sauce for pizza, pizza recipe,pizza ingredient",PT9M45S,2023-03-05 10:24:20+00:00,82,,0,2024-08-21 23:40:22.770491+00:00
"How to make samosas, How to make samosa wrap, How to make samosa beef filling, How to fold samosa",PT7M18S,2023-02-04 19:10:23+00:00,12322,218,13,2024-08-21 23:40:23.502827+00:00
How to make 3 layered origami cake using fondant icing. How Make origami design for cake using paper,PT14M37S,2022-07-14 05:07:51+00:00,696,23,1,2024-08-21 23:40:24.310336+00:00
"HOW TO MAKE GOLD DRIPS ON CAKE,  GOLD DRIPS",PT3M3S,2020-08-24 08:35:38+00:00,77,4,5,2024-08-21 23:40:24.988795+00:00
HOW TO MAKE 3 TIERS WEDDING CAKE. 3 STEP WEDDING CAKE,PT3M32S,2020-07-27 09:08:37+00:00,112,3,0,2024-08-21 23:40:25.711505+00:00
HOW TO MAKE CHOCOLATE DRIPS ON CAKES,PT2M28S,2020-07-27 08:21:26+00:00,95,3,0,2024-08-21 23:40:26.377466+00:00
HOW TO MAKE FRUIT BASKET USING FONDANT,PT2M18S,2020-07-27 05:18:15+00:00,533,5,0,2024-08-21 23:40:27.116861+00:00
"HOW TO DECORATE CUP CAKES USING BUTTERCREAM FROSTING, BUTTER CREAM ON CUPCAKES",PT2M58S,2020-07-27 04:05:05+00:00,41,3,2,2024-08-21 23:40:27.917422+00:00
HOW TO MAKE PIZZA Chicken Pizza,PT3M25S,2020-07-27 03:56:41+00:00,40,2,0,2024-08-21 23:40:28.861048+00:00
"HOW TO MAKE BEEF JACKET, BEEF JACKET",PT1M48S,2020-07-18 03:17:59+00:00,547,14,0,2024-08-21 23:40:29.562269+00:00
"How to make meatpie, How to make pastry dough",PT4M43S,2020-07-18 02:57:48+00:00,26,2,0,2024-08-21 23:40:30.324923+00:00
"How to make puff-puff, Nigerian puff-puff, mouth watering puff-puff",PT4M5S,2020-07-06 03:33:19+00:00,65,5,1,2024-08-21 23:40:31.012961+00:00
"HOW TO MAKE FONDANT ROSE FLOWERS. ROSES, LEARN HOW TO MAKE SIMPLE ROSE FLOWER.",PT2M4S,2020-05-14 08:09:50+00:00,68,2,0,2024-08-21 23:40:31.786891+00:00
How To Make Fruit Basket Cake (PART 1),PT4M53S,2020-01-28 09:01:11+00:00,5791,50,1,2024-08-21 23:40:32.550897+00:00
How to make fruit basket cake (PART 2),PT4M55S,2020-01-27 17:49:55+00:00,630,15,3,2024-08-21 23:40:33.297866+00:00
"How to make a car cake, How to make a Ferrari car cake, Fondant car cake in Nigeria with simple tool",PT4M45S,2019-10-22 06:22:42+00:00,104,3,0,2024-08-21 23:40:33.986650+00:00
"How to make Spring Cucumber, Spring cucumber.",PT2M24S,2019-05-01 09:46:40+00:00,619,6,1,2024-08-21 23:40:34.726211+00:00
My Birthday giveaway online class as I celebrate one decade as a baker,PT1M54S,2019-03-27 06:50:03+00:00,46,4,1,2024-08-21 23:40:35.390573+00:00
How to make chocolate drip design on strawberries,PT1M25S,2019-02-21 11:09:51+00:00,53,2,0,2024-08-21 23:40:36.254522+00:00
How to make Army camouflage cake using fondant icing,PT1M31S,2019-02-21 11:07:11+00:00,6849,63,1,2024-08-21 23:40:36.934258+00:00
How to make Edible cake topper with sugar paste or fondant icing,PT4M27S,2018-10-30 10:14:05+00:00,200,10,0,2024-08-21 23:40:37.675715+00:00
Nigerian Ankara girl cake,PT1M40S,2018-10-28 17:55:28+00:00,2009,29,1,2024-08-21 23:40:38.370150+00:00
