video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
CRUFFINS,PT5M47S,2024-05-28 07:44:43+00:00,244,13,0,2024-08-21 23:32:22.139855+00:00
Waffle Ice-cream Cone,PT13M15S,2024-03-25 19:24:19+00:00,435,13,4,2024-08-21 23:32:22.848797+00:00
27 February 2024,PT9M28S,2024-02-27 17:09:32+00:00,290,17,2,2024-08-21 23:32:23.557503+00:00
PEANUT BUTTER OATMEAL  BROWNIE.,PT3M11S,2024-02-01 23:39:23+00:00,280,16,6,2024-08-21 23:32:24.223999+00:00
CORN DOG ( Asian Style),PT4M19S,2023-09-27 11:02:07+00:00,436,17,1,2024-08-21 23:32:25.051451+00:00
Creamy Goat Sauce Pasta 😋,PT3M2S,2023-09-18 11:33:52+00:00,83,4,0,2024-08-21 23:32:25.734386+00:00
Egg Rolls ( AWARD WINING EGG ROLLS WITH A DIFFERENCE),PT3M53S,2023-08-30 08:34:17+00:00,679,40,4,2024-08-21 23:32:26.440134+00:00
CARAMELISED YOGHURT PUFF PUFF,PT3M51S,2023-07-25 12:30:56+00:00,199,4,0,2024-08-21 23:32:27.126133+00:00
OAT DESSERT CUPS( GLUTEN FREE),PT3M23S,2023-06-27 16:49:00+00:00,107,3,0,2024-08-21 23:32:27.796888+00:00
WAFFLE -  STEP BY STEP WITH RECIPE,PT5M18S,2023-05-30 14:27:27+00:00,355,12,0,2024-08-21 23:32:28.644203+00:00
ICECREAM LESSON 6- FINAL LESSON (NO CHURN),PT1M1S,2023-05-30 13:44:35+00:00,155,4,0,2024-08-21 23:32:29.314558+00:00
ICECREAM LESSON 5 - NO CHURN,PT1M7S,2023-05-30 13:28:42+00:00,118,3,0,2024-08-21 23:32:30.000201+00:00
"ICECREAM LESSON 4 With Different Variations , Strawberry, caramel, OreoCookies etc ( NO CHURN)",PT5M2S,2023-05-30 12:43:42+00:00,183,6,0,2024-08-21 23:32:30.749266+00:00
ICECREAM LESSON 3 ( NO CHURN),PT3M59S,2023-05-30 12:42:38+00:00,450,7,1,2024-08-21 23:32:31.436034+00:00
ICE-CREAM LESSON 2 ( NO CHURN),PT3M22S,2023-05-30 12:39:15+00:00,254,3,2,2024-08-21 23:32:32.176926+00:00
ICE- CREAM LESSON 1  ( NO CHURN),PT2M14S,2023-05-28 18:43:46+00:00,281,7,0,2024-08-21 23:32:32.868182+00:00
GLUTEN FREE CAKE; Almond And Coconut Cake!,PT7M51S,2023-04-26 14:47:59+00:00,185,7,0,2024-08-21 23:32:33.548644+00:00
PIZZA CAKE FROM SCRATCH- From Baking to Decorating,PT8M26S,2023-03-29 13:34:06+00:00,118,9,1,2024-08-21 23:32:34.238344+00:00
Buttery Lemon Cake frosted with whipped Cream And Sandwiched With Cream Cheese 😋,PT1M45S,2023-03-13 13:29:24+00:00,70,2,0,2024-08-21 23:32:34.943759+00:00
Crispy Buttered Spiced Chicken,PT7M35S,2023-03-06 16:57:45+00:00,122,6,2,2024-08-21 23:32:35.633369+00:00
Cake Decorating 101- Beginner Level,PT8M,2023-02-20 10:41:03+00:00,146,3,1,2024-08-21 23:32:36.372975+00:00
"Multilayered Cake made in an unusual way, sandwiched with whipped Cream,  frosted in cream cheese.",PT13M28S,2023-02-01 09:07:05+00:00,150,9,0,2024-08-21 23:32:37.052980+00:00
Multilayered Cake Slices-,PT13M28S,2023-01-31 22:37:01+00:00,90,3,3,2024-08-21 23:32:37.820938+00:00
Simple BUTTER CAKE FOR BEGINNERS,PT3M56S,2023-01-28 13:25:58+00:00,184,7,0,2024-08-21 23:32:38.511320+00:00
"Trifles/Cake Jars! Yummies In Jars! Very Irresistible Combo of Cakes, fruits and fillings in a jar.",PT7M33S,2022-12-15 16:12:30+00:00,97,8,1,2024-08-21 23:32:39.196652+00:00
Fruit cake - Garnishing and Decorating.,PT9M53S,2022-12-10 09:27:30+00:00,238,14,1,2024-08-21 23:32:39.944354+00:00
"SHOPPING 🛍 EXPERIENCE  FOR WEEK 1,2 & 3  OF BAKING EXPERIENCE WITH IKEOLU BIOBAKU OF MIXNBAKE.",PT5M57S,2022-12-09 14:55:40+00:00,24,2,0,2024-08-21 23:32:40.658514+00:00
Cake Pops - Lotus Biscoff cake Pops,PT14M50S,2022-11-30 01:45:26+00:00,642,11,0,2024-08-21 23:32:41.372226+00:00
