video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
STRAWBERRY MILKSHAKE |MILKSHAKE RECIPE #strawberrymilkshake #milkshake,PT1M5S,2024-08-11 10:12:52+00:00,81,,9,2024-08-21 23:20:44.196299+00:00
FISH ROLL|FISH ROLL RECIPE|FISH ROLL NIGERIAN|AFRICAN FOOD #fishroll #nigerianfood,PT1M46S,2024-07-21 19:51:52+00:00,211,,,2024-08-21 23:20:46.099027+00:00
CHEESE AND ONION PASTY (GREGGS STYLE) |CHEESE AND ONION PASTY RECIPE |CHEESE AND ONION PASTY UK,PT3M10S,2024-07-01 11:09:23+00:00,557,,9,2024-08-21 23:20:46.923763+00:00
HOW TO MAKE NIGERIAN COLESLAW |NIGERIAN COLESLAW SALAD| COLESLAW |NIGERIAN SALAD |AFRICAN FOOD|SALAD,PT2M3S,2024-06-19 10:18:41+00:00,170,,9,2024-08-21 23:20:48.909183+00:00
FERRIS WHEEL|FERRIS WHEEL SOUTHAMPTON|SKYWHEELS|SHORTS FEED|BABY|CUTE BABY GIRL|BABY PLAYING |SHORTS,PT2M,2023-12-27 11:19:07+00:00,113,,,2024-08-21 23:20:52.466487+00:00
BRITISH TRY AFRICAN FOOD|FUFU AND AFANG SOUP WITH BEEF|NIGERIAN FOOD|FUFU MUKBANG |FUFU|ASMR MUKBANG,PT7M1S,2023-12-14 21:51:51+00:00,154,,,2024-08-21 23:20:53.278291+00:00
BRITISH TRY AFRICAN FOOD|CHICKEN WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU |OKRO |ASMR,PT7M10S,2023-10-13 06:16:57+00:00,147,,,2024-08-21 23:20:54.088468+00:00
BRITISH TRY AFRICAN FOOD|CHICKEN WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU |OKRO |ASMR,PT6M56S,2023-09-21 08:02:36+00:00,657,,,2024-08-21 23:20:55.090267+00:00
BRITISH TRY AFRICAN FOOD|FISH WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU|OKRO|ASMR|BEEF,PT6M14S,2023-08-27 09:45:17+00:00,253,,,2024-08-21 23:20:55.678391+00:00
BRITISH TRY AFRICAN FOOD|FISH WITH FUFU AND OKRA SOUP|NIGERIAN FOOD|FUFU MUKBANG|FUFU|OKRO|ASMR|BEEF,PT2M57S,2023-08-19 06:53:11+00:00,44,,,2024-08-21 23:20:56.771528+00:00
