video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
Tunde Crusher VS  4Fufs 1Dragon Chicken,PT3M25S,2024-05-19 10:32:33+00:00,2331,,15,2024-08-21 23:22:47.449986+00:00
Guess and Eat (Iconic Logos and Faces),PT9M59S,2024-05-03 23:00:17+00:00,2229,,3,2024-08-21 23:22:47.975175+00:00
Guess and Eat (insects),PT7M57S,2024-05-02 10:28:02+00:00,1817,,3,2024-08-21 23:22:49.293115+00:00
Guess and Eat 4,PT10M13S,2024-03-23 11:32:00+00:00,3660,,12,2024-08-21 23:22:50.651870+00:00
Guess and Eat | Iconic Faces and Animals,PT9M6S,2024-03-18 16:05:48+00:00,4190,,19,2024-08-21 23:22:51.193810+00:00
Guess & Eat | Countries and Peppersoup Ft. Whizzy,PT10M12S,2024-03-16 10:36:12+00:00,3094,,4,2024-08-21 23:22:52.376347+00:00
VALENTINE DATE SPECIAL🩷 ft. Celyn & Daddy Yess | DRAGON CLAW CHALLENGE,PT7M48S,2024-02-14 10:59:20+00:00,6168,,12,2024-08-21 23:22:54.850154+00:00
Foodlum Challenge,PT5M17S,2023-10-30 06:00:20+00:00,5719,145,13,2024-08-21 23:22:55.761509+00:00
😄okro challenge🥹,PT3M24S,2023-10-25 06:00:04+00:00,3949,104,5,2024-08-21 23:22:59.516872+00:00
papa and son try’s pineapple chicken,PT4M15S,2023-10-19 06:00:01+00:00,5718,116,13,2024-08-21 23:23:00.131201+00:00
Yoruba Twins VS Turkeys,PT3M48S,2023-10-14 06:00:15+00:00,3974,112,8,2024-08-21 23:23:00.717661+00:00
Foodlum Challenge  | Iamdikeh,PT5M22S,2023-10-10 11:00:01+00:00,3610,123,8,2024-08-21 23:23:01.294108+00:00
Joy in having a small plantain shop,PT5M21S,2023-10-10 06:00:12+00:00,1298,26,1,2024-08-21 23:23:01.962020+00:00
LASU try’s Egusi,PT4M24S,2023-10-08 06:00:00+00:00,4031,71,11,2024-08-21 23:23:02.993233+00:00
LASU try’s 50 juice box,PT4M25S,2023-10-06 06:00:12+00:00,1445,35,7,2024-08-21 23:23:03.929031+00:00
LASU try’s flaming noodles,PT8M59S,2023-10-05 06:00:02+00:00,5945,131,21,2024-08-21 23:23:04.722051+00:00
Iyana world flip,PT5M12S,2023-10-04 06:00:30+00:00,6853,94,4,2024-08-21 23:23:05.570358+00:00
White Agbero teaches us how to eat Indian food,PT9M57S,2023-10-02 13:33:11+00:00,2229,65,12,2024-08-21 23:23:06.549773+00:00
KICK & EAT | MAKOKO,PT3M25S,2023-09-02 10:29:51+00:00,10660,162,10,2024-08-21 23:23:07.295886+00:00
FLIP & EAT | Abule-Oja(UNILAG),PT3M2S,2023-08-31 07:51:03+00:00,17769,205,9,2024-08-21 23:23:07.963702+00:00
SPIN & EAT | Live in Iyana Oworo,PT8M41S,2023-04-16 07:44:17+00:00,64930,616,23,2024-08-21 23:23:09.221065+00:00
FLIP & EAT | Live in Abulegba,PT6M20S,2023-04-11 05:00:04+00:00,380693,2180,162,2024-08-21 23:23:10.173624+00:00
FLIP & EAT | Live in Ebute Metta Round 2,PT7M6S,2023-04-10 05:00:30+00:00,461843,2667,202,2024-08-21 23:23:11.234410+00:00
FLIP & EAT | Live in Sango Otta (MEN),PT4M38S,2023-04-09 05:00:21+00:00,2774386,10127,490,2024-08-21 23:23:11.800267+00:00
UNILAG VS FOOD,PT5M19S,2023-04-08 15:03:26+00:00,96745,695,39,2024-08-21 23:23:13.374124+00:00
SPIN & EAT | Live in Ebute Metta ROUND 2,PT8M19S,2023-04-08 14:34:13+00:00,56962,254,7,2024-08-21 23:23:14.043359+00:00
FLIP & EAT | KIDS OF SANGO,PT8M34S,2023-04-05 11:00:44+00:00,1205382,5081,386,2024-08-21 23:23:14.642242+00:00
SPIN & EAT | live in Ebute Metta,PT5M34S,2023-04-05 07:00:09+00:00,363930,1318,59,2024-08-21 23:23:15.157193+00:00
