video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
Best and easy way to Design a baby's dedication invitation card with smartphone.,PT30M32S,2023-11-16 04:52:51+00:00,70,0,0,2024-08-21 23:38:55.862059+00:00
How to design cake toppers # Pixellab tricks,PT12M46S,2023-11-08 10:48:16+00:00,19,0,0,2024-08-21 23:38:56.580503+00:00
edited version....How I inserted a picture on a cocomelon theme frame#graphics,PT11M15S,2023-11-07 06:59:27+00:00,35,1,0,2024-08-21 23:38:57.298481+00:00
Introduction to Pixellab...#pixellabdesigns # Pixellab basics #graphics design.,PT10M57S,2023-11-06 15:04:26+00:00,25,1,0,2024-08-21 23:38:58.152690+00:00
..A video on how to generate AI Names with your phone..#AI #Graphics #AI names,PT11M46S,2023-11-03 10:55:31+00:00,55,7,2,2024-08-21 23:38:58.854768+00:00
How I Designed a simple fondant cake,PT11M40S,2022-09-04 13:29:25+00:00,682,10,3,2024-08-21 23:38:59.572535+00:00
How to make the best hotdog bread rolls. #Hotdog#sausagebuns,PT8M33S,2022-08-04 21:09:39+00:00,82,4,3,2024-08-21 23:39:00.288127+00:00
The swirled cookie that went viral..#buttercookies #meltinmouthcookie #cookies,PT6M44S,2022-07-30 18:58:35+00:00,118,5,5,2024-08-21 23:39:00.978771+00:00
How to bake chocolate cake..#moistchocolatecake,PT9M45S,2022-07-04 20:50:32+00:00,115,7,12,2024-08-21 23:39:01.826802+00:00
How I used my smartphone to Design a Lion guard theme cake Topper,PT9M23S,2022-06-09 15:34:31+00:00,99,7,4,2024-08-21 23:39:02.520813+00:00
How to Download YouTube videos without any App,PT4M44S,2022-05-25 20:44:38+00:00,156,11,1,2024-08-21 23:39:03.246385+00:00
5 Best ways to fold Samosa,PT8M39S,2022-05-20 05:14:42+00:00,15856,221,24,2024-08-21 23:39:03.973308+00:00
How to Prepare Samosa Fillings,PT5M47S,2022-05-19 20:35:21+00:00,598,23,6,2024-08-21 23:39:04.664016+00:00
How to make Springroll fillings,PT8M24S,2022-05-19 18:51:44+00:00,605,29,5,2024-08-21 23:39:05.332635+00:00
How to make the thinnest springroll sheets,PT13M43S,2022-05-02 18:15:14+00:00,3402,115,28,2024-08-21 23:39:05.997115+00:00
How to make Samosa sheets without Tears,PT20M11S,2022-05-02 09:26:25+00:00,3074,104,48,2024-08-21 23:39:06.736084+00:00
How to make Bread rolls,PT7M37S,2022-04-30 22:43:09+00:00,114,8,0,2024-08-21 23:39:07.438307+00:00
How I designed a law patrol cake Topper,PT14M3S,2022-04-29 08:52:57+00:00,117,8,2,2024-08-21 23:39:08.140601+00:00
How to make Samosa sheets without Tears,PT10M1S,2022-04-29 00:18:10+00:00,1255,39,11,2024-08-21 23:39:08.878603+00:00
