video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
"New CAR , New MacBOOK, New LIFE in LAGOS - SisiYemmie",PT20M34S,2024-08-20 14:25:33+00:00,39667,4285,172,2024-08-21 10:23:24.760371+00:00
Yoruba TWIN Naming Ceremony | Cooking Ewa Ibeji | Baby Names and Meanings,PT25M27S,2024-08-18 14:00:14+00:00,73941,6057,816,2024-08-21 10:23:26.025577+00:00
OUR Newborn TWIN's Photoshoot,PT9M,2024-08-16 15:18:04+00:00,47529,4171,416,2024-08-21 10:23:27.435879+00:00
Our Newborn Twins Meeting Family For The 1st Time ! SISIYEMMIE,PT16M24S,2024-08-14 14:00:04+00:00,93168,8410,1318,2024-08-21 10:23:28.550870+00:00
MY 4TH C-SECTION & TWIN BIRTH - SISI YEMMIE,PT15M42S,2024-08-09 15:16:04+00:00,153124,8986,1650,2024-08-21 10:23:29.270835+00:00
Ready To Meet The TWINS: House Tour + Book Photoshoot + Vulnerable Vlog,PT27M9S,2024-08-04 14:50:40+00:00,101739,5616,560,2024-08-21 10:23:29.855198+00:00
TWIN Maternity PhotoShoot + 3 Pregnancy REGRETS,PT13M19S,2024-08-01 18:23:00+00:00,50139,3735,211,2024-08-21 10:23:30.550977+00:00
Tito's Birthday | Self Care | Pregnant Mama Life,PT25M27S,2024-07-28 14:13:04+00:00,57987,3169,176,2024-08-21 10:23:31.310876+00:00
How I Balance Screen Time For My Kids,PT1M41S,2024-07-27 15:49:59+00:00,14488,795,15,2024-08-21 10:23:32.022820+00:00
TELLING My Husband We Are PREGNANT With TWINS after 3 Kids!,PT14M6S,2024-07-23 14:00:47+00:00,174324,10626,1546,2024-08-21 10:23:32.639117+00:00
"CALL ME ""IYA IBEJI"" - SISI YEMMIE",PT15M38S,2024-07-21 14:02:13+00:00,283517,23342,6478,2024-08-21 10:23:33.255037+00:00
HOW TO MAKE PLANTAIN PEPPERSOUP,PT1M18S,2024-07-08 19:21:36+00:00,11291,547,20,2024-08-21 10:23:35.407495+00:00
NIGERIAN EGGROLL RECIPE - NIGERIAN SNACK - SISI YEMMIE,PT8M56S,2024-06-16 15:49:07+00:00,21725,1255,73,2024-08-21 10:23:35.967479+00:00
Weekend In My Life | Hot Gist With The Kids | Living in Nigeria,PT25M59S,2024-05-23 14:00:18+00:00,40243,1890,208,2024-08-21 10:23:36.623494+00:00
Day In The Life of a Mom Living in Nigeria | Nigerian YouTubers Come Here | What I Eat In A Week,PT22M49S,2024-05-08 17:17:43+00:00,41910,1750,207,2024-08-21 10:23:37.265824+00:00
I CAN'T BELIEVE IT - 1 MILLION SUBSCRIBERS - SISI YEMMIE!!!,PT14M15S,2024-05-02 15:04:30+00:00,26914,3147,985,2024-08-21 10:23:37.873809+00:00
Day In My Life Being The Best Parents Everrrr | Living in Nigeria | Easter Surprise!,PT23M37S,2024-04-26 15:12:45+00:00,31696,1752,259,2024-08-21 10:23:38.543074+00:00
AIR FYER CAKE - HOW TO BAKE WITH AN AIR FRYER,PT4M15S,2024-04-12 15:23:19+00:00,7562,434,32,2024-08-21 10:23:39.256204+00:00
"Day In The Life Of A Wife  Living In Lagos | Meal Planning, Bulk Cooking Vlog",PT20M34S,2024-04-08 15:12:24+00:00,55097,1911,139,2024-08-21 10:23:39.911979+00:00
WATCH THIS BEFORE YOU DRINK OKRA WATER!!!  - BENEFITS & SIDE EFFECTS,PT10M30S,2024-04-03 16:49:17+00:00,30001,570,37,2024-08-21 10:23:40.947834+00:00
Day In The Life | Living with 3 kids | life of Nigerian Parents,PT20M5S,2024-03-28 14:00:42+00:00,68319,2787,255,2024-08-21 10:23:41.549464+00:00
I WENT FOOD SHOPPING | COST OF EVERYTHING I BOUGHT | GROCERY HAUL,PT11M13S,2024-03-19 13:44:39+00:00,48420,1825,235,2024-08-21 10:23:42.169591+00:00
Delicious Creamy Coconut Pasta |  20 Minute Dish,PT8M6S,2024-03-14 16:07:55+00:00,9942,617,45,2024-08-21 10:23:42.812140+00:00
Day in my life | living as a mom in Nigeria | Live FULL | Sisi Weekly,PT18M34S,2024-03-11 13:58:09+00:00,42876,1780,128,2024-08-21 10:23:43.420128+00:00
HOW TO MAKE PAP WITHOUT LUMPS,PT8M22S,2024-03-02 10:22:19+00:00,12223,534,45,2024-08-21 10:23:44.013844+00:00
WHAT MY CHILDREN EAT IN A WEEK - Nigerian  Lunchbox Edition,PT8M3S,2024-02-27 18:01:10+00:00,20141,700,28,2024-08-21 10:23:44.567371+00:00
SISI WEEKLY : No More Valentine + Photoshoot + Tani's 2nd Birthday !!!,PT21M13S,2024-02-21 18:26:52+00:00,27361,1413,135,2024-08-21 10:23:45.241565+00:00
HOW TO MAKE NIGERIAN BEANS PIE - SISI YEMMIE,PT8M16S,2024-02-12 15:23:09+00:00,15531,635,74,2024-08-21 10:23:45.865715+00:00
