video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
Simple Ngerian Buns Recipe,PT1M46S,2022-09-24 16:10:15+00:00,57,15,14,2024-08-21 23:42:55.115895+00:00
SIMPLE AND DELICIOUS PASTA RECIPE,PT1M30S,2022-08-23 18:15:48+00:00,35,8,12,2024-08-21 23:42:55.871033+00:00
very easy RED VELVET CAKE recipe,PT1M44S,2022-08-11 18:03:39+00:00,1211,17,11,2024-08-21 23:42:56.575480+00:00
How to make COCONUT CHIPS at Home,PT1M12S,2022-07-29 18:38:28+00:00,225,7,9,2024-08-21 23:42:57.258046+00:00
Quick & Easy Vanilla Buttercream Frosting Recipe,PT1M13S,2022-07-11 17:00:15+00:00,265,5,4,2024-08-21 23:42:57.974763+00:00
MOIST and FLUFFY VANILLA CAKE recipe from scratch,PT2M11S,2022-06-27 17:00:09+00:00,164,10,6,2024-08-21 23:42:58.681663+00:00
"Delicious egg friedrice recipe// quick,simple and yummy",PT1M5S,2022-06-18 16:00:00+00:00,22,4,6,2024-08-21 23:42:59.414462+00:00
Quick and easy macaroni recipe,PT1M16S,2022-05-11 17:01:00+00:00,50,7,8,2024-08-21 23:43:00.120002+00:00
HOW TO MAKE NIGERIAN PEPPERSOUP,PT1M1S,2022-04-26 18:05:03+00:00,43,9,10,2024-08-21 23:43:00.809214+00:00
How to make simple MOI MOI at home,PT1M45S,2022-04-10 18:00:09+00:00,30,5,9,2024-08-21 23:43:01.533030+00:00
How to make simple banana pancakes,PT1M57S,2022-04-02 08:55:47+00:00,247,14,8,2024-08-21 23:43:02.269239+00:00
simple POPCORN CHICKEN recipe to make at home.,PT2M18S,2022-03-17 13:58:51+00:00,103,13,15,2024-08-21 23:43:03.029510+00:00
SIMPLE CHICKEN AND VEGETABLE SAUCE//you'll want to have this everyday😉,PT2M30S,2022-03-06 18:00:09+00:00,28,13,12,2024-08-21 23:43:03.763083+00:00
HOW TO MAKE A HEALTHY ZOBO DRINK// goodbye to soda,PT1M31S,2021-12-27 18:00:13+00:00,49,9,12,2024-08-21 23:43:04.465786+00:00
Chocolate buttercream recipe,PT1M55S,2021-12-13 19:38:20+00:00,30,6,8,2024-08-21 23:43:05.214178+00:00
Simple and Moist Chocolate Cake,PT1M20S,2021-11-28 18:07:12+00:00,31,5,7,2024-08-21 23:43:05.957042+00:00
simple and easy banana bread recipe,PT2M30S,2021-11-20 18:46:05+00:00,24,7,14,2024-08-21 23:43:06.716712+00:00
"GET TO KNOW ME TAG 2// food,marriage,friendship etc",PT10M53S,2021-11-06 18:03:19+00:00,64,17,15,2024-08-21 23:43:07.432445+00:00
simple peanut burger recipe// perfectly coated,PT2M19S,2021-11-01 19:47:51+00:00,29,8,8,2024-08-21 23:43:08.197290+00:00
homemade banana milkshake recipe/ simple,PT1M3S,2021-10-23 18:00:04+00:00,35,10,8,2024-08-21 23:43:09.048877+00:00
ofada sauce recipe/ ayamase recipe,PT1M36S,2021-10-17 18:41:40+00:00,64,12,17,2024-08-21 23:43:09.812748+00:00
!! before you buy your next CHAPMAN// non-alcoholic,PT1M12S,2021-10-09 18:00:28+00:00,53,8,7,2024-08-21 23:43:10.520774+00:00
how to make healthy carrot and ginger juice|| for glowing skin,PT1M5S,2021-10-02 17:25:39+00:00,20,8,8,2024-08-21 23:43:11.305624+00:00
simple mini sausage buns recipe || quick snack,PT2M1S,2021-09-25 18:00:08+00:00,42,17,14,2024-08-21 23:43:11.994963+00:00
Easy Carrot Pancakes Recipe,PT2M12S,2021-09-18 18:00:12+00:00,74,10,7,2024-08-21 23:43:12.758601+00:00
CHANNEL TRAILER | Cook with Funmi,PT50S,2021-09-13 12:36:50+00:00,94,11,12,2024-08-21 23:43:13.521288+00:00
spaghetti and sausage recipe 2021,PT1M43S,2021-01-25 02:46:29+00:00,99,16,5,2024-08-21 23:43:14.193368+00:00
EASY SPICY PLANTAIN CHIPS RECIPE,PT2M17S,2021-01-10 21:57:47+00:00,729,21,13,2024-08-21 23:43:14.922254+00:00
