video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
THIS EARLY 20s DEY TRY WHINE ME BUT I NO GO PANIC// LIFE IN MY 20s (Ep.9),PT22M16S,2024-07-07 11:26:12+00:00,331,21,11,2024-08-14 08:35:30.644954+00:00
THEY DID'NT EVEN MAKE THIS MUCH FOOD AT THE LAST SUPPER🤭 Amah Chill!,PT30M58S,2024-06-26 23:26:58+00:00,482,18,15,2024-08-14 08:35:31.133887+00:00
WENT ON A TRIP AND FELL IN LOVE🤭,PT52M25S,2024-06-18 17:00:03+00:00,100,21,7,2024-08-14 08:35:31.655587+00:00
MY BEST FRIEND THINKS I'M AUTHORITATIVE💔,PT52M3S,2024-06-07 09:00:21+00:00,64,16,1,2024-08-14 08:35:32.107558+00:00
JOLLOF RICE RECIPE,PT4M5S,2024-05-27 15:54:17+00:00,629,34,8,2024-08-14 08:35:32.540728+00:00
THIS LOVE MAKES ME A HAPPY MU**🤭// UNBOXING MY BIRTHDAY GIFTS//LIFE IN MY 20s (EP.8),PT27M45S,2024-05-07 13:51:35+00:00,167,18,9,2024-08-14 08:35:33.008896+00:00
BirthDay VLOG// Prepping// LIFE IN MY 20's (Ep. 7),PT34M28S,2024-04-20 11:32:30+00:00,164,27,17,2024-08-14 08:35:33.471240+00:00
I ASKED SOME PEOPLE WHO JESUS CHRIST IS TO THEM AND HERE'S WHAT THEY HAD TO SAY🥺,PT9M2S,2024-04-15 12:52:26+00:00,94,20,13,2024-08-14 08:35:33.976803+00:00
THE DEVIL TRIED BUT JESUS IS THE GREATEST😌// LIFE IN MY 20's (Ep. 6),PT36M26S,2024-03-28 05:11:25+00:00,396,31,24,2024-08-14 08:35:34.456900+00:00
The Perfect Base For You Stew and Rice Dishes,PT11M23S,2024-03-12 21:52:53+00:00,51,11,5,2024-08-14 08:35:34.942993+00:00
LIFE IN MY 20s (Ep. 5)// My life as an amazing aunty to my beautiful babies,PT41M58S,2024-02-29 16:27:57+00:00,65,12,5,2024-08-14 08:35:35.402986+00:00
Detailed Nigerian Zobo Recipe// Healthy But Delicious Nigerian Drink,PT11M21S,2024-02-23 18:05:42+00:00,52,7,5,2024-08-14 08:35:35.829669+00:00
LIFE IN MY 20s// It definitely isn't a weekly vlog if it isn't up to a week 😌,PT49M,2024-02-14 07:49:06+00:00,189,16,6,2024-08-14 08:35:36.282630+00:00
Daily Morning Skincare Routine// LIFE IN MY 20s (Ep. 3)🤭,PT27M44S,2024-02-09 00:01:44+00:00,87,22,15,2024-08-14 08:35:36.785210+00:00
A Day (or two) In My Life// LIFE IN MY 20S✨ (Ep. 2),PT14M6S,2024-02-05 20:49:44+00:00,580,21,9,2024-08-14 08:35:37.231112+00:00
Daily Vlog// Living in my 20s😌,PT12M25S,2024-01-25 23:02:08+00:00,271,17,3,2024-08-14 08:35:37.698965+00:00
A CHRISTMAS VLOG - PT.3// Christmas menu// I feel sick on Christmas Day🤒,PT20M16S,2024-01-16 23:41:16+00:00,123,17,10,2024-08-14 08:35:38.134956+00:00
A CHRISTMAS VLOG - PT. 2 // Gifting friends and acquaintances.,PT33M45S,2024-01-15 03:52:15+00:00,95,19,14,2024-08-14 08:35:38.941528+00:00
A CHRISTMAS VLOG - Pt. 1// Decorating with my family🎄,PT28M9S,2024-01-08 09:14:58+00:00,137,25,23,2024-08-14 08:35:39.392375+00:00
Weekly Vlogs// Getting a GUINNESS WORLD RECORD?// I looked gorgeous so I did a vlog🤭,PT24M10S,2023-12-24 23:15:45+00:00,52,9,8,2024-08-14 08:35:39.824392+00:00
Weekly VLOG// Saying good bye to my sister// Cooking// My week can be all over the place sometimes.,PT46M43S,2023-12-22 14:50:14+00:00,158,28,8,2024-08-14 08:35:40.350548+00:00
LIVING AS A FARM GIRL SERIES (Ep.1),PT33M7S,2023-12-19 00:17:41+00:00,97,18,8,2024-08-14 08:35:40.838767+00:00
TRAVEL VLOG// Went on a boat ride to Taraba 🤭,PT23M52S,2023-12-08 09:09:09+00:00,163,11,3,2024-08-14 08:35:41.367470+00:00
TRAVEL VLOG  Prep(Part 2)// Shopping + Unboxing,PT18M8S,2023-11-30 19:02:58+00:00,184,11,7,2024-08-14 08:35:41.794903+00:00
TRAVEL PREP VLOG// New hair + Clothing haul + Meet my sister🤭,PT32M35S,2023-11-27 23:00:33+00:00,137,19,11,2024-08-14 08:35:42.227936+00:00
STORY TIME// I did my siblings dirty🤭//getting everything on my TO-DO List done.,PT27M5S,2023-11-18 05:01:49+00:00,136,14,4,2024-08-14 08:35:42.644848+00:00
DAILY VLOG //Market Runs// Prices are just on the rise anyhow📈 😭😭,PT13M25S,2023-11-13 13:05:09+00:00,159,20,10,2024-08-14 08:35:43.073941+00:00
A DAY IN MY LIFE  //Tips on preparing the perfect party jollof rice//,PT9M6S,2023-10-17 02:12:55+00:00,113,20,9,2024-08-14 08:35:43.522073+00:00
